"OrderID,RequisitionID,HospitalID,SupplierID,OrderDate,TotalCost,Status,ExpectedDeliveryDate"
"PO00251,REQ00013,H003,S013,2025-04-01,1450372,Open,2025-04-23"
"PO00252,REQ00013,H003,S018,2025-04-01,723656,Open,2025-05-04"
"PO00253,REQ00013,H003,S010,2025-04-01,846778,Open,2025-05-02"
"PO00254,REQ00013,H003,S012,2025-04-01,727888,Open,2025-05-12"
"PO00255,REQ00013,H003,S005,2025-04-01,352595,Open,2025-04-07"
"PO00256,REQ00013,H003,S007,2025-04-01,234774,Open,2025-04-04"
"PO00257,REQ00013,H003,S006,2025-04-01,100576,Open,2025-04-05"
"PO00258,REQ00014,H004,S007,2025-04-01,588671,Open,2025-04-04"
"PO00259,REQ00014,H004,S005,2025-04-01,284388,Open,2025-04-07"
"PO00260,REQ00014,H004,S006,2025-04-01,469709,Open,2025-04-05"
"PO00261,REQ00014,H004,S002,2025-04-01,107042,Open,2025-04-04"
"PO00262,REQ00014,H004,S004,2025-04-01,705345,Open,2025-04-04"
"PO00263,REQ00014,H004,S008,2025-04-01,84018,Open,2025-04-08"
"PO00264,REQ00014,H004,S018,2025-04-01,1344005,Open,2025-05-04"
"PO00265,REQ00014,H004,S016,2025-04-01,2578169,Open,2025-04-25"
"PO00266,REQ00014,H004,S019,2025-04-01,1602335,Open,2025-04-23"
"PO00267,REQ00014,H004,S010,2025-04-01,2348892,Open,2025-05-02"
"PO00268,REQ00014,H004,S009,2025-04-01,2309221,Open,2025-04-23"
"PO00269,REQ00014,H004,S017,2025-04-01,2621890,Open,2025-05-05"
"PO00270,REQ00014,H004,S014,2025-04-01,2442435,Open,2025-04-21"
"PO00271,REQ00014,H004,S013,2025-04-01,1017787,Open,2025-04-23"
"PO00272,REQ00014,H004,S011,2025-04-01,2495604,Open,2025-04-28"
"PO00273,REQ00014,H004,S012,2025-04-01,2306471,Open,2025-05-12"
"PO00274,REQ00014,H004,S015,2025-04-01,560359,Open,2025-04-23"
"PO00275,REQ00014,H004,S020,2025-04-01,304634,Open,2025-04-04"
"PO00276,REQ00014,H004,S003,2025-04-01,283460,Open,2025-04-07"
"PO00277,REQ00014,H004,S001,2025-04-01,319737,Open,2025-04-05"
"PO00278,REQ00015,H005,S007,2025-04-01,274731,Open,2025-04-04"
"PO00279,REQ00015,H005,S001,2025-04-01,486201,Open,2025-04-05"
"PO00280,REQ00015,H005,S006,2025-04-01,738589,Open,2025-04-05"
"PO00281,REQ00015,H005,S005,2025-04-01,448108,Open,2025-04-07"
"PO00282,REQ00015,H005,S004,2025-04-01,270498,Open,2025-04-04"
"PO00283,REQ00015,H005,S003,2025-04-01,610643,Open,2025-04-07"
"PO00284,REQ00015,H005,S013,2025-04-01,1983317,Open,2025-04-23"
"PO00285,REQ00015,H005,S010,2025-04-01,2265342,Open,2025-05-02"
"PO00286,REQ00015,H005,S016,2025-04-01,2516165,Open,2025-04-25"
"PO00287,REQ00015,H005,S011,2025-04-01,3626220,Open,2025-04-28"
"PO00288,REQ00015,H005,S018,2025-04-01,3523655,Open,2025-05-04"
"PO00289,REQ00015,H005,S014,2025-04-01,2157580,Open,2025-04-21"
"PO00290,REQ00015,H005,S009,2025-04-01,2401241,Open,2025-04-23"
"PO00291,REQ00015,H005,S017,2025-04-01,412478,Open,2025-05-05"
"PO00292,REQ00015,H005,S012,2025-04-01,724491,Open,2025-05-12"
"PO00293,REQ00015,H005,S019,2025-04-01,1514471,Open,2025-04-23"
"PO00294,REQ00015,H005,S015,2025-04-01,618138,Open,2025-04-23"
"PO00295,REQ00015,H005,S008,2025-04-01,312736,Open,2025-04-08"
"PO00296,REQ00015,H005,S002,2025-04-01,63480,Open,2025-04-04"
"PO00297,REQ00016,H006,S007,2025-04-01,326327,Open,2025-04-04"
"PO00298,REQ00016,H006,S008,2025-04-01,51062,Open,2025-04-08"
"PO00299,REQ00016,H006,S001,2025-04-01,407289,Open,2025-04-05"
"PO00300,REQ00016,H006,S005,2025-04-01,339719,Open,2025-04-07"
"PO00301,REQ00016,H006,S002,2025-04-01,230087,Open,2025-04-04"
"PO00302,REQ00016,H006,S004,2025-04-01,197276,Open,2025-04-04"
"PO00303,REQ00016,H006,S020,2025-04-01,1060767,Open,2025-04-04"
"PO00304,REQ00016,H006,S016,2025-04-01,704035,Open,2025-04-25"
"PO00305,REQ00016,H006,S010,2025-04-01,1537916,Open,2025-05-02"
"PO00306,REQ00016,H006,S014,2025-04-01,3285253,Open,2025-04-21"
"PO00307,REQ00016,H006,S011,2025-04-01,3249905,Open,2025-04-28"
"PO00308,REQ00016,H006,S015,2025-04-01,2981929,Open,2025-04-23"
"PO00309,REQ00016,H006,S013,2025-04-01,2696400,Open,2025-04-23"
"PO00310,REQ00016,H006,S019,2025-04-01,1782931,Open,2025-04-23"
"PO00311,REQ00016,H006,S018,2025-04-01,2346882,Open,2025-05-04"
"PO00312,REQ00016,H006,S012,2025-04-01,1417341,Open,2025-05-12"
"PO00313,REQ00016,H006,S009,2025-04-01,1292372,Open,2025-04-23"
"PO00314,REQ00016,H006,S003,2025-04-01,470931,Open,2025-04-07"
"PO00315,REQ00016,H006,S017,2025-04-01,424032,Open,2025-05-05"
"PO00316,REQ00016,H006,S006,2025-04-01,106176,Open,2025-04-05"
"PO00317,REQ00017,H007,S001,2025-04-01,300665,Open,2025-04-05"
"PO00318,REQ00017,H007,S006,2025-04-01,570623,Open,2025-04-05"
"PO00319,REQ00017,H007,S004,2025-04-01,641261,Open,2025-04-04"
"PO00320,REQ00017,H007,S003,2025-04-01,510029,Open,2025-04-07"
"PO00321,REQ00017,H007,S008,2025-04-01,532863,Open,2025-04-08"
"PO00322,REQ00017,H007,S005,2025-04-01,107520,Open,2025-04-07"
"PO00323,REQ00017,H007,S007,2025-04-01,88692,Open,2025-04-04"
"PO00324,REQ00017,H007,S018,2025-04-01,2370558,Open,2025-05-04"
"PO00325,REQ00017,H007,S017,2025-04-01,2339272,Open,2025-05-05"
"PO00326,REQ00017,H007,S010,2025-04-01,2831360,Open,2025-05-02"
"PO00327,REQ00017,H007,S019,2025-04-01,2864620,Open,2025-04-23"
"PO00328,REQ00017,H007,S014,2025-04-01,2264054,Open,2025-04-21"
"PO00329,REQ00017,H007,S009,2025-04-01,2915818,Open,2025-04-23"
"PO00330,REQ00017,H007,S012,2025-04-01,1126431,Open,2025-05-12"
"PO00331,REQ00017,H007,S011,2025-04-01,2573287,Open,2025-04-28"
"PO00332,REQ00017,H007,S015,2025-04-01,1699530,Open,2025-04-23"
"PO00333,REQ00017,H007,S016,2025-04-01,475318,Open,2025-04-25"
"PO00334,REQ00017,H007,S013,2025-04-01,382047,Open,2025-04-23"
"PO00335,REQ00017,H007,S002,2025-04-01,469926,Open,2025-04-04"
"PO00336,REQ00017,H007,S020,2025-04-01,35880,Open,2025-04-04"
"PO00337,REQ00018,H008,S005,2025-04-01,227910,Open,2025-04-07"
"PO00338,REQ00018,H008,S008,2025-04-01,364752,Open,2025-04-08"
"PO00339,REQ00018,H008,S007,2025-04-01,438517,Open,2025-04-04"
"PO00340,REQ00018,H008,S020,2025-04-01,470717,Open,2025-04-04"
"PO00341,REQ00018,H008,S001,2025-04-01,604050,Open,2025-04-05"
"PO00342,REQ00018,H008,S006,2025-04-01,521971,Open,2025-04-05"
"PO00343,REQ00018,H008,S019,2025-04-01,6309107,Open,2025-04-23"
"PO00344,REQ00018,H008,S011,2025-04-01,1541991,Open,2025-04-28"
"PO00345,REQ00018,H008,S013,2025-04-01,2052376,Open,2025-04-23"
"PO00346,REQ00018,H008,S017,2025-04-01,2336569,Open,2025-05-05"
"PO00347,REQ00018,H008,S015,2025-04-01,1149071,Open,2025-04-23"
"PO00348,REQ00018,H008,S009,2025-04-01,1989490,Open,2025-04-23"
"PO00349,REQ00018,H008,S016,2025-04-01,1567718,Open,2025-04-25"
"PO00350,REQ00018,H008,S012,2025-04-01,1822551,Open,2025-05-12"
"PO00351,REQ00018,H008,S010,2025-04-01,930002,Open,2025-05-02"
