TransactionID,Date,HospitalID,ProductID,TransactionType,Quantity,BalanceAfterTransaction
TRN000059,2025-01-01,H001,MED059,Consumption,-14,1108
TRN000060,2025-01-01,H001,MED060,Consumption,-7,1243
TRN000061,2025-01-01,H001,MED061,Consumption,-32,1923
TRN000062,2025-01-01,H001,MED062,Consumption,-28,2503
TRN000063,2025-01-01,H001,MED063,Consumption,-27,2301
TRN000064,2025-01-01,H001,MED064,Consumption,-16,2732
TRN000065,2025-01-01,H001,MED065,Consumption,-29,1855
TRN000066,2025-01-01,H001,MED066,Consumption,-23,2340
TRN000067,2025-01-01,H001,MED067,Consumption,-20,2131
TRN000068,2025-01-01,H001,MED068,Consumption,-31,2309
TRN000069,2025-01-01,H001,MED069,Consumption,-23,2023
TRN000070,2025-01-01,H001,MED070,Consumption,-15,2537
TRN000071,2025-01-01,H001,MED071,Consumption,-2,632
TRN000072,2025-01-01,H001,MED072,Consumption,-5,255
TRN000073,2025-01-01,H001,MED073,Consumption,-4,343
TRN000074,2025-01-01,H001,MED074,Consumption,-3,771
TRN000075,2025-01-01,H001,MED075,Consumption,-4,430
TRN000076,2025-01-01,H001,MED076,Consumption,-2,364
TRN000077,2025-01-01,H001,MED077,Consumption,-5,521
TRN000078,2025-01-01,H001,MED078,Consumption,-2,695
TRN000079,2025-01-01,H001,MED079,Consumption,-2,640
TRN000080,2025-01-01,H001,MED080,Consumption,-6,439
TRN000081,2025-01-01,H001,MED081,Consumption,-13,1382
TRN000082,2025-01-01,H001,MED082,Consumption,-15,1529
TRN000083,2025-01-01,H001,MED083,Consumption,-7,877
TRN000084,2025-01-01,H001,MED084,Consumption,-8,883
TRN000085,2025-01-01,H001,MED085,Consumption,-13,1438
TRN000086,2025-01-01,H001,MED086,Consumption,-14,1141
TRN000087,2025-01-01,H001,MED087,Consumption,-8,1228
TRN000088,2025-01-01,H001,MED088,Consumption,-15,1546
TRN000089,2025-01-01,H001,MED089,Consumption,-10,1545
TRN000090,2025-01-01,H001,MED090,Consumption,-15,1044
TRN000091,2025-01-01,H001,MED091,Consumption,-3,214
TRN000092,2025-01-01,H001,MED092,Consumption,-4,596
TRN000093,2025-01-01,H001,MED093,Consumption,-3,338
TRN000094,2025-01-01,H001,MED094,Consumption,-2,473
TRN000095,2025-01-01,H001,MED095,Consumption,-6,654
TRN000096,2025-01-01,H001,MED096,Consumption,-6,514
TRN000097,2025-01-01,H001,MED097,Consumption,-5,707
TRN000098,2025-01-01,H001,MED098,Consumption,-6,605
TRN000099,2025-01-01,H001,MED099,Consumption,-3,835
TRN000100,2025-01-01,H001,MED100,Consumption,-6,743
TRN000101,2025-01-01,H002,MED001,Consumption,-20,1714
TRN000102,2025-01-01,H002,MED002,Consumption,-27,2322
TRN000103,2025-01-01,H002,MED003,Consumption,-20,2524
TRN000104,2025-01-01,H002,MED004,Consumption,-26,2496
TRN000105,2025-01-01,H002,MED005,Consumption,-34,1428
TRN000106,2025-01-01,H002,MED006,Consumption,-23,1895
TRN000107,2025-01-01,H002,MED007,Consumption,-23,2416
TRN000108,2025-01-01,H002,MED008,Consumption,-22,2441
TRN000109,2025-01-01,H002,MED009,Consumption,-24,2104
TRN000110,2025-01-01,H002,MED010,Consumption,-24,1791
TRN000111,2025-01-01,H002,MED011,Consumption,-20,2237
TRN000112,2025-01-01,H002,MED012,Consumption,-16,2626
TRN000113,2025-01-01,H002,MED013,Consumption,-19,1736
TRN000114,2025-01-01,H002,MED014,Consumption,-16,1428
TRN000115,2025-01-01,H002,MED015,Consumption,-25,2604
TRN000116,2025-01-01,H002,MED016,Consumption,-25,2454
TRN000117,2025-01-01,H002,MED017,Consumption,-17,1744
TRN000118,2025-01-01,H002,MED018,Consumption,-29,2198
TRN000119,2025-01-01,H002,MED019,Consumption,-15,2722
TRN000120,2025-01-01,H002,MED020,Consumption,-30,1549
TRN000121,2025-01-01,H002,MED021,Consumption,-2,648
TRN000122,2025-01-01,H002,MED022,Consumption,-5,320
TRN000123,2025-01-01,H002,MED023,Consumption,-1,329
TRN000124,2025-01-01,H002,MED024,Consumption,-28,1996
TRN000125,2025-01-01,H002,MED025,Consumption,-5,404
TRN000126,2025-01-01,H002,MED026,Consumption,-14,1001
TRN000127,2025-01-01,H002,MED027,Consumption,-9,1231
TRN000128,2025-01-01,H002,MED028,Consumption,-12,970
TRN000129,2025-01-01,H002,MED029,Consumption,-6,825
TRN000130,2025-01-01,H002,MED030,Consumption,-12,968
TRN000131,2025-01-01,H002,MED031,Consumption,-7,1058
TRN000132,2025-01-01,H002,MED032,Consumption,-13,733
TRN000133,2025-01-01,H002,MED033,Consumption,-7,831
TRN000134,2025-01-01,H002,MED034,Consumption,-9,1240
TRN000135,2025-01-01,H002,MED035,Consumption,-15,1093
TRN000136,2025-01-01,H002,MED036,Consumption,-13,1109
TRN000137,2025-01-01,H002,MED037,Consumption,-10,900
TRN000138,2025-01-01,H002,MED038,Consumption,-8,1166
TRN000139,2025-01-01,H002,MED039,Consumption,-11,1029
TRN000140,2025-01-01,H002,MED040,Consumption,-11,909
TRN000141,2025-01-01,H002,MED041,Consumption,-13,1182
TRN000142,2025-01-01,H002,MED042,Consumption,-13,1009
TRN000143,2025-01-01,H002,MED043,Consumption,-13,813
TRN000144,2025-01-01,H002,MED044,Consumption,-8,1212
TRN000145,2025-01-01,H002,MED045,Consumption,-10,944
TRN000146,2025-01-01,H002,MED046,Consumption,-8,800
TRN000147,2025-01-01,H002,MED047,Consumption,-6,1185
TRN000148,2025-01-01,H002,MED048,Consumption,-7,830
TRN000149,2025-01-01,H002,MED049,Consumption,-14,932
TRN000150,2025-01-01,H002,MED050,Consumption,-8,1153
TRN000151,2025-01-01,H002,MED051,Consumption,-15,964
TRN000152,2025-01-01,H002,MED052,Consumption,-9,1037
TRN000153,2025-01-01,H002,MED053,Consumption,-14,1115
TRN000154,2025-01-01,H002,MED054,Consumption,-13,918
TRN000155,2025-01-01,H002,MED055,Consumption,-11,1253
TRN000156,2025-01-01,H002,MED056,Consumption,-9,1170
TRN000157,2025-01-01,H002,MED057,Consumption,-13,1146
TRN000158,2025-01-01,H002,MED058,Consumption,-11,737
TRN000159,2025-01-01,H002,MED059,Consumption,-10,881
TRN000160,2025-01-01,H002,MED060,Consumption,-5,764
TRN000161,2025-01-01,H002,MED061,Consumption,-30,2797
TRN000162,2025-01-01,H002,MED062,Consumption,-16,1704
TRN000163,2025-01-01,H002,MED063,Consumption,-18,2126
TRN000164,2025-01-01,H002,MED064,Consumption,-17,2012
TRN000165,2025-01-01,H002,MED065,Consumption,-23,2853
TRN000166,2025-01-01,H002,MED066,Consumption,-22,2552
TRN000167,2025-01-01,H002,MED067,Consumption,-33,1440
TRN000168,2025-01-01,H002,MED068,Consumption,-23,2015
TRN000169,2025-01-01,H002,MED069,Consumption,-25,2801
TRN000170,2025-01-01,H002,MED070,Consumption,-22,1950
TRN000171,2025-01-01,H002,MED071,Consumption,-1,287
TRN000172,2025-01-01,H002,MED072,Consumption,-3,222
TRN000173,2025-01-01,H002,MED073,Consumption,-2,467
TRN000174,2025-01-01,H002,MED074,Consumption,-5,351
TRN000175,2025-01-01,H002,MED075,Consumption,-3,609
TRN000176,2025-01-01,H002,MED076,Consumption,-1,595
TRN000177,2025-01-01,H002,MED077,Consumption,-5,616
TRN000178,2025-01-01,H002,MED078,Consumption,-6,679
TRN000179,2025-01-01,H002,MED079,Consumption,-5,226
TRN000180,2025-01-01,H002,MED080,Consumption,-2,557
TRN000181,2025-01-01,H002,MED081,Consumption,-13,961
TRN000182,2025-01-01,H002,MED082,Consumption,-12,979
TRN000183,2025-01-01,H002,MED083,Consumption,-11,764
TRN000184,2025-01-01,H002,MED084,Consumption,-11,879
TRN000185,2025-01-01,H002,MED085,Consumption,-9,1389
TRN000186,2025-01-01,H002,MED086,Consumption,-7,1277
TRN000187,2025-01-01,H002,MED087,Consumption,-10,1138
TRN000188,2025-01-01,H002,MED088,Consumption,-15,850
TRN000189,2025-01-01,H002,MED089,Consumption,-8,1090
TRN000190,2025-01-01,H002,MED090,Consumption,-6,762
TRN000191,2025-01-01,H002,MED091,Consumption,-4,711
TRN000192,2025-01-01,H002,MED092,Consumption,-6,427
TRN000193,2025-01-01,H002,MED093,Consumption,-3,671
TRN000194,2025-01-01,H002,MED094,Consumption,-4,478
TRN000195,2025-01-01,H002,MED095,Consumption,-1,485
TRN000196,2025-01-01,H002,MED096,Consumption,-2,188
TRN000197,2025-01-01,H002,MED097,Consumption,-4,476
TRN000198,2025-01-01,H002,MED098,Consumption,-5,520
TRN000199,2025-01-01,H002,MED099,Consumption,-1,446
TRN000200,2025-01-01,H002,MED100,Consumption,-5,583
TRN000201,2025-01-01,H003,MED001,Consumption,-17,2009
TRN000202,2025-01-01,H003,MED002,Consumption,-25,1279
TRN000203,2025-01-01,H003,MED003,Consumption,-34,1874
TRN000204,2025-01-01,H003,MED004,Consumption,-16,1954
TRN000205,2025-01-01,H003,MED005,Consumption,-23,1853
TRN000206,2025-01-01,H003,MED006,Consumption,-16,2292
TRN000207,2025-01-01,H003,MED007,Consumption,-23,1861
TRN000208,2025-01-01,H003,MED008,Consumption,-34,1614
TRN000209,2025-01-01,H003,MED009,Consumption,-19,1275
TRN000210,2025-01-01,H003,MED010,Consumption,-29,1420
TRN000211,2025-01-01,H003,MED011,Consumption,-23,1444
TRN000212,2025-01-01,H003,MED012,Consumption,-31,1557
TRN000213,2025-01-01,H003,MED013,Consumption,-34,1566
TRN000214,2025-01-01,H003,MED014,Consumption,-27,2403
TRN000215,2025-01-01,H003,MED015,Consumption,-21,1756
TRN000216,2025-01-01,H003,MED016,Consumption,-20,1943
TRN000217,2025-01-01,H003,MED017,Consumption,-17,1280
TRN000218,2025-01-01,H003,MED018,Consumption,-19,2039
TRN000219,2025-01-01,H003,MED019,Consumption,-33,1332
TRN000220,2025-01-01,H003,MED020,Consumption,-25,1716
TRN000221,2025-01-01,H003,MED021,Consumption,-2,228
TRN000222,2025-01-01,H003,MED022,Consumption,-1,286
TRN000223,2025-01-01,H003,MED023,Consumption,-3,486
TRN000224,2025-01-01,H003,MED024,Consumption,-33,1219
TRN000225,2025-01-01,H003,MED025,Consumption,-3,381
TRN000226,2025-01-01,H003,MED026,Consumption,-5,705
TRN000227,2025-01-01,H003,MED027,Consumption,-5,689
TRN000228,2025-01-01,H003,MED028,Consumption,-7,952
TRN000229,2025-01-01,H003,MED029,Consumption,-11,783
TRN000230,2025-01-01,H003,MED030,Consumption,-5,687
TRN000231,2025-01-01,H003,MED031,Consumption,-13,637
TRN000232,2025-01-01,H003,MED032,Consumption,-5,1128
TRN000233,2025-01-01,H003,MED033,Consumption,-10,822
TRN000234,2025-01-01,H003,MED034,Consumption,-5,1140
TRN000235,2025-01-01,H003,MED035,Consumption,-12,660
TRN000236,2025-01-01,H003,MED036,Consumption,-9,711
TRN000237,2025-01-01,H003,MED037,Consumption,-6,943
TRN000238,2025-01-01,H003,MED038,Consumption,-15,1157
TRN000239,2025-01-01,H003,MED039,Consumption,-6,850
TRN000240,2025-01-01,H003,MED040,Consumption,-14,838
TRN000241,2025-01-01,H003,MED041,Consumption,-9,646
TRN000242,2025-01-01,H003,MED042,Consumption,-6,621
TRN000243,2025-01-01,H003,MED043,Consumption,-7,978
TRN000244,2025-01-01,H003,MED044,Consumption,-14,897
TRN000245,2025-01-01,H003,MED045,Consumption,-6,956
TRN000246,2025-01-01,H003,MED046,Consumption,-6,608
TRN000247,2025-01-01,H003,MED047,Consumption,-10,617
TRN000248,2025-01-01,H003,MED048,Consumption,-13,859
TRN000249,2025-01-01,H003,MED049,Consumption,-13,712
TRN000250,2025-01-01,H003,MED050,Consumption,-8,1116
TRN000251,2025-01-01,H003,MED051,Consumption,-15,978
TRN000252,2025-01-01,H003,MED052,Consumption,-11,734
TRN000253,2025-01-01,H003,MED053,Consumption,-13,620
TRN000254,2025-01-01,H003,MED054,Consumption,-6,962
TRN000255,2025-01-01,H003,MED055,Consumption,-11,1013
TRN000256,2025-01-01,H003,MED056,Consumption,-12,907
TRN000257,2025-01-01,H003,MED057,Consumption,-10,966
TRN000258,2025-01-01,H003,MED058,Consumption,-11,1170
TRN000259,2025-01-01,H003,MED059,Consumption,-13,936
TRN000260,2025-01-01,H003,MED060,Consumption,-14,722
TRN000261,2025-01-01,H003,MED061,Consumption,-35,2228
TRN000262,2025-01-01,H003,MED062,Consumption,-17,2429
TRN000263,2025-01-01,H003,MED063,Consumption,-24,1250
TRN000264,2025-01-01,H003,MED064,Consumption,-22,1295
TRN000265,2025-01-01,H003,MED065,Consumption,-33,1740
TRN000266,2025-01-01,H003,MED066,Consumption,-18,1896
TRN000267,2025-01-01,H003,MED067,Consumption,-25,1347
TRN000268,2025-01-01,H003,MED068,Consumption,-33,2308
TRN000269,2025-01-01,H003,MED069,Consumption,-16,1408
TRN000270,2025-01-01,H003,MED070,Consumption,-30,1728
TRN000271,2025-01-01,H003,MED071,Consumption,-6,463
TRN000272,2025-01-01,H003,MED072,Consumption,-6,282
TRN000273,2025-01-01,H003,MED073,Consumption,-6,402
TRN000274,2025-01-01,H003,MED074,Consumption,-1,158
TRN000275,2025-01-01,H003,MED075,Consumption,-4,158
TRN000276,2025-01-01,H003,MED076,Consumption,-4,464
TRN000277,2025-01-01,H003,MED077,Consumption,-6,542
TRN000278,2025-01-01,H003,MED078,Consumption,-4,239
TRN000279,2025-01-01,H003,MED079,Consumption,-5,462
TRN000280,2025-01-01,H003,MED080,Consumption,-2,481
TRN000281,2025-01-01,H003,MED081,Consumption,-13,1174
TRN000282,2025-01-01,H003,MED082,Consumption,-11,884
TRN000283,2025-01-01,H003,MED083,Consumption,-14,934
TRN000284,2025-01-01,H003,MED084,Consumption,-5,823
TRN000285,2025-01-01,H003,MED085,Consumption,-9,881
TRN000286,2025-01-01,H003,MED086,Consumption,-8,970
TRN000287,2025-01-01,H003,MED087,Consumption,-7,634
TRN000288,2025-01-01,H003,MED088,Consumption,-11,883
TRN000289,2025-01-01,H003,MED089,Consumption,-10,1011
TRN000290,2025-01-01,H003,MED090,Consumption,-5,737
TRN000291,2025-01-01,H003,MED091,Consumption,-5,369
TRN000292,2025-01-01,H003,MED092,Consumption,-3,581
TRN000293,2025-01-01,H003,MED093,Consumption,-3,213
TRN000294,2025-01-01,H003,MED094,Consumption,-5,186
TRN000295,2025-01-01,H003,MED095,Consumption,-2,436
TRN000296,2025-01-01,H003,MED096,Consumption,-1,568
TRN000297,2025-01-01,H003,MED097,Consumption,-5,241
TRN000298,2025-01-01,H003,MED098,Consumption,-1,344
TRN000299,2025-01-01,H003,MED099,Consumption,-6,148
TRN000300,2025-01-01,H003,MED100,Consumption,-6,261
TRN000301,2025-01-01,H004,MED001,Consumption,-27,1400
TRN000302,2025-01-01,H004,MED002,Consumption,-33,1181
TRN000303,2025-01-01,H004,MED003,Consumption,-22,2358
TRN000304,2025-01-01,H004,MED004,Consumption,-15,1314
TRN000305,2025-01-01,H004,MED005,Consumption,-20,1934
TRN000306,2025-01-01,H004,MED006,Consumption,-35,1233
TRN000307,2025-01-01,H004,MED007,Consumption,-22,2049
TRN000308,2025-01-01,H004,MED008,Consumption,-17,1997
TRN000309,2025-01-01,H004,MED009,Consumption,-23,1572
TRN000310,2025-01-01,H004,MED010,Consumption,-25,2132
TRN000311,2025-01-01,H004,MED011,Consumption,-33,1994
TRN000312,2025-01-01,H004,MED012,Consumption,-21,2335
TRN000313,2025-01-01,H004,MED013,Consumption,-18,1308
TRN000314,2025-01-01,H004,MED014,Consumption,-19,2194
TRN000315,2025-01-01,H004,MED015,Consumption,-28,1950
TRN000316,2025-01-01,H004,MED016,Consumption,-34,1585
TRN000317,2025-01-01,H004,MED017,Consumption,-22,1744
TRN000318,2025-01-01,H004,MED018,Consumption,-23,2145
TRN000319,2025-01-01,H004,MED019,Consumption,-21,1491
TRN000320,2025-01-01,H004,MED020,Consumption,-27,1747
TRN000321,2025-01-01,H004,MED021,Consumption,-2,441
TRN000322,2025-01-01,H004,MED022,Consumption,-6,561
TRN000323,2025-01-01,H004,MED023,Consumption,-2,574
TRN000324,2025-01-01,H004,MED024,Consumption,-26,2376
TRN000325,2025-01-01,H004,MED025,Consumption,-5,324
TRN000326,2025-01-01,H004,MED026,Consumption,-5,771
TRN000327,2025-01-01,H004,MED027,Consumption,-5,750
TRN000328,2025-01-01,H004,MED028,Consumption,-14,669
TRN000329,2025-01-01,H004,MED029,Consumption,-9,932
TRN000330,2025-01-01,H004,MED030,Consumption,-7,952
TRN000331,2025-01-01,H004,MED031,Consumption,-15,725
TRN000332,2025-01-01,H004,MED032,Consumption,-12,905
TRN000333,2025-01-01,H004,MED033,Consumption,-5,899
TRN000334,2025-01-01,H004,MED034,Consumption,-9,1014
TRN000335,2025-01-01,H004,MED035,Consumption,-6,1183
TRN000336,2025-01-01,H004,MED036,Consumption,-7,786
TRN000337,2025-01-01,H004,MED037,Consumption,-10,811
TRN000338,2025-01-01,H004,MED038,Consumption,-12,851
TRN000339,2025-01-01,H004,MED039,Consumption,-8,1049
TRN000340,2025-01-01,H004,MED040,Consumption,-8,678
TRN000341,2025-01-01,H004,MED041,Consumption,-14,976
TRN000342,2025-01-01,H004,MED042,Consumption,-9,1033
TRN000343,2025-01-01,H004,MED043,Consumption,-15,823
TRN000344,2025-01-01,H004,MED044,Consumption,-9,854
TRN000345,2025-01-01,H004,MED045,Consumption,-8,679
TRN000346,2025-01-01,H004,MED046,Consumption,-10,1080
TRN000347,2025-01-01,H004,MED047,Consumption,-7,599
TRN000348,2025-01-01,H004,MED048,Consumption,-7,743
TRN000349,2025-01-01,H004,MED049,Consumption,-10,1137
TRN000350,2025-01-01,H004,MED050,Consumption,-11,1102
TRN000351,2025-01-01,H004,MED051,Consumption,-8,1114
TRN000352,2025-01-01,H004,MED052,Consumption,-11,707
TRN000353,2025-01-01,H004,MED053,Consumption,-13,842
TRN000354,2025-01-01,H004,MED054,Consumption,-14,1085
TRN000355,2025-01-01,H004,MED055,Consumption,-5,752
TRN000356,2025-01-01,H004,MED056,Consumption,-5,722
TRN000357,2025-01-01,H004,MED057,Consumption,-11,703
TRN000358,2025-01-01,H004,MED058,Consumption,-10,826
TRN000359,2025-01-01,H004,MED059,Consumption,-8,869
TRN000360,2025-01-01,H004,MED060,Consumption,-8,1033
TRN000361,2025-01-01,H004,MED061,Consumption,-16,1988
TRN000362,2025-01-01,H004,MED062,Consumption,-20,1221
TRN000363,2025-01-01,H004,MED063,Consumption,-19,1214
TRN000364,2025-01-01,H004,MED064,Consumption,-34,2163
TRN000365,2025-01-01,H004,MED065,Consumption,-26,1515
TRN000366,2025-01-01,H004,MED066,Consumption,-22,1823
TRN000367,2025-01-01,H004,MED067,Consumption,-20,2000
TRN000368,2025-01-01,H004,MED068,Consumption,-22,2158
TRN000369,2025-01-01,H004,MED069,Consumption,-19,1310
TRN000370,2025-01-01,H004,MED070,Consumption,-19,1999
TRN000371,2025-01-01,H004,MED071,Consumption,-2,296
TRN000372,2025-01-01,H004,MED072,Consumption,-1,312
TRN000373,2025-01-01,H004,MED073,Consumption,-2,379
TRN000374,2025-01-01,H004,MED074,Consumption,-2,258
TRN000375,2025-01-01,H004,MED075,Consumption,-1,460
TRN000376,2025-01-01,H004,MED076,Consumption,-1,387
TRN000377,2025-01-01,H004,MED077,Consumption,-4,482
TRN000378,2025-01-01,H004,MED078,Consumption,-6,344
TRN000379,2025-01-01,H004,MED079,Consumption,-3,442
TRN000380,2025-01-01,H004,MED080,Consumption,-3,207
TRN000381,2025-01-01,H004,MED081,Consumption,-9,615
TRN000382,2025-01-01,H004,MED082,Consumption,-10,1087
TRN000383,2025-01-01,H004,MED083,Consumption,-8,1026
TRN000384,2025-01-01,H004,MED084,Consumption,-14,1109
TRN000385,2025-01-01,H004,MED085,Consumption,-10,606
TRN000386,2025-01-01,H004,MED086,Consumption,-13,1083
TRN000387,2025-01-01,H004,MED087,Consumption,-13,1178
TRN000388,2025-01-01,H004,MED088,Consumption,-9,671
TRN000389,2025-01-01,H004,MED089,Consumption,-6,1130
TRN000390,2025-01-01,H004,MED090,Consumption,-10,1160
TRN000391,2025-01-01,H004,MED091,Consumption,-5,432
TRN000392,2025-01-01,H004,MED092,Consumption,-4,546
TRN000393,2025-01-01,H004,MED093,Consumption,-6,229
TRN000394,2025-01-01,H004,MED094,Consumption,-6,260
TRN000395,2025-01-01,H004,MED095,Consumption,-5,472
TRN000396,2025-01-01,H004,MED096,Consumption,-2,229
TRN000397,2025-01-01,H004,MED097,Consumption,-3,160
TRN000398,2025-01-01,H004,MED098,Consumption,-2,255
TRN000399,2025-01-01,H004,MED099,Consumption,-1,279
TRN000400,2025-01-01,H004,MED100,Consumption,-4,328
TRN000401,2025-01-01,H005,MED001,Consumption,-31,1665
TRN000402,2025-01-01,H005,MED002,Consumption,-26,2094
TRN000403,2025-01-01,H005,MED003,Consumption,-20,1195
TRN000404,2025-01-01,H005,MED004,Consumption,-16,1494
TRN000405,2025-01-01,H005,MED005,Consumption,-35,1578
TRN000406,2025-01-01,H005,MED006,Consumption,-35,2329
TRN000407,2025-01-01,H005,MED007,Consumption,-28,2234
TRN000408,2025-01-01,H005,MED008,Consumption,-17,1659
TRN000409,2025-01-01,H005,MED009,Consumption,-33,1863
TRN000410,2025-01-01,H005,MED010,Consumption,-24,1552
TRN000411,2025-01-01,H005,MED011,Consumption,-32,1556
TRN000412,2025-01-01,H005,MED012,Consumption,-33,2332
TRN000413,2025-01-01,H005,MED013,Consumption,-26,1497
TRN000414,2025-01-01,H005,MED014,Consumption,-22,1609
TRN000415,2025-01-01,H005,MED015,Consumption,-22,1994
TRN000416,2025-01-01,H005,MED016,Consumption,-32,2331
TRN000417,2025-01-01,H005,MED017,Consumption,-22,2116
TRN000418,2025-01-01,H005,MED018,Consumption,-24,1186
TRN000419,2025-01-01,H005,MED019,Consumption,-28,2348
TRN000420,2025-01-01,H005,MED020,Consumption,-29,2055
TRN000421,2025-01-01,H005,MED021,Consumption,-6,369
TRN000422,2025-01-01,H005,MED022,Consumption,-2,388
TRN000423,2025-01-01,H005,MED023,Consumption,-4,407
TRN000424,2025-01-01,H005,MED024,Consumption,-24,2246
TRN000425,2025-01-01,H005,MED025,Consumption,-5,243
TRN000426,2025-01-01,H005,MED026,Consumption,-14,1075
TRN000427,2025-01-01,H005,MED027,Consumption,-14,588
TRN000428,2025-01-01,H005,MED028,Consumption,-13,706
TRN000429,2025-01-01,H005,MED029,Consumption,-15,1164
TRN000430,2025-01-01,H005,MED030,Consumption,-10,856
TRN000431,2025-01-01,H005,MED031,Consumption,-15,1125
TRN000432,2025-01-01,H005,MED032,Consumption,-13,918
TRN000433,2025-01-01,H005,MED033,Consumption,-8,631
TRN000434,2025-01-01,H005,MED034,Consumption,-6,819
TRN000435,2025-01-01,H005,MED035,Consumption,-7,630
TRN000436,2025-01-01,H005,MED036,Consumption,-7,768
TRN000437,2025-01-01,H005,MED037,Consumption,-7,1185
TRN000438,2025-01-01,H005,MED038,Consumption,-7,816
TRN000439,2025-01-01,H005,MED039,Consumption,-8,914
TRN000440,2025-01-01,H005,MED040,Consumption,-13,626
TRN000441,2025-01-01,H005,MED041,Consumption,-13,848
TRN000442,2025-01-01,H005,MED042,Consumption,-12,679
TRN000443,2025-01-01,H005,MED043,Consumption,-9,953
TRN000444,2025-01-01,H005,MED044,Consumption,-5,764
TRN000445,2025-01-01,H005,MED045,Consumption,-9,1012
TRN000446,2025-01-01,H005,MED046,Consumption,-8,1148
TRN000447,2025-01-01,H005,MED047,Consumption,-7,623
TRN000448,2025-01-01,H005,MED048,Consumption,-5,1031
TRN000449,2025-01-01,H005,MED049,Consumption,-7,674
TRN000450,2025-01-01,H005,MED050,Consumption,-15,1173
TRN000451,2025-01-01,H005,MED051,Consumption,-15,808
TRN000452,2025-01-01,H005,MED052,Consumption,-10,702
TRN000453,2025-01-01,H005,MED053,Consumption,-7,815
TRN000454,2025-01-01,H005,MED054,Consumption,-9,955
TRN000455,2025-01-01,H005,MED055,Consumption,-8,1005
