"LineID,OrderID,ProductID,OrderedQty,UnitPrice,LineTotal,Status"
"LINE000167,PO00033,MED035,1030,612,630360,Delivered"
"LINE000168,PO00033,MED040,1352,160,216320,Delivered"
"LINE000169,PO00033,MED041,524,336,176064,Delivered"
"LINE000170,PO00033,MED053,910,131,119210,Delivered"
"LINE000171,PO00033,MED080,1316,237,311892,Delivered"
"LINE000172,PO00034,MED026,1476,610,900360,Delivered"
"LINE000173,PO00034,MED027,1505,524,788620,Delivered"
"LINE000174,PO00034,MED034,1116,736,821376,Delivered"
"LINE000175,PO00034,MED047,1374,118,162132,Delivered"
"LINE000176,PO00034,MED048,1054,345,363630,Delivered"
"LINE000177,PO00034,MED051,1381,304,419824,Delivered"
"LINE000178,PO00034,MED054,1124,303,340572,Delivered"
"LINE000179,PO00034,MED074,980,511,500780,Delivered"
"LINE000180,PO00034,MED091,648,1352,876096,Delivered"
"LINE000181,PO00035,MED029,1255,560,702800,Delivered"
"LINE000182,PO00035,MED033,1308,239,312612,Delivered"
"LINE000183,PO00035,MED039,1345,349,469405,Delivered"
"LINE000184,PO00035,MED050,1202,271,325742,Delivered"
"LINE000185,PO00035,MED055,1306,74,96644,Delivered"
"LINE000186,PO00035,MED096,1325,491,650575,Delivered"
"LINE000187,PO00035,MED097,1380,518,714840,Delivered"
"LINE000188,PO00035,MED100,786,330,259380,Delivered"
"LINE000189,PO00036,MED031,760,525,399000,Delivered"
"LINE000190,PO00036,MED043,1288,50,64400,Delivered"
"LINE000191,PO00036,MED075,1437,301,432537,Delivered"
"LINE000192,PO00036,MED098,878,388,340664,Delivered"
"LINE000193,PO00037,MED057,656,120,78720,Delivered"
"LINE000194,PO00038,MED061,692,23,15916,Delivered"
"LINE000195,PO00038,MED085,1394,69,96186,Delivered"
"LINE000196,PO00039,MED062,1358,73,99134,Delivered"
"LINE000197,PO00039,MED063,526,112,58912,Delivered"
"LINE000198,PO00039,MED083,743,181,134483,Delivered"
"LINE000199,PO00039,MED087,1481,113,167353,Delivered"
"LINE000200,PO00040,MED090,1245,112,139440,Delivered"
"LINE000201,PO00041,MED001,1311,43,56373,Delivered"
"LINE000202,PO00041,MED065,973,37,36001,Delivered"
"LINE000203,PO00041,MED081,1507,148,223036,Delivered"
"LINE000204,PO00041,MED085,1233,69,85077,Delivered"
"LINE000205,PO00042,MED002,623,29,18067,Delivered"
"LINE000206,PO00042,MED061,763,23,17549,Delivered"
"LINE000207,PO00042,MED066,909,109,99081,Delivered"
"LINE000208,PO00043,MED003,1396,22,30712,Delivered"
"LINE000209,PO00043,MED007,1239,25,30975,Delivered"
"LINE000210,PO00043,MED009,590,38,22420,Delivered"
"LINE000211,PO00043,MED086,585,89,52065,Delivered"
"LINE000212,PO00044,MED004,952,35,33320,Delivered"
"LINE000213,PO00044,MED006,593,37,21941,Delivered"
"LINE000214,PO00044,MED087,595,113,67235,Delivered"
"LINE000215,PO00045,MED005,1236,33,40788,Delivered"
"LINE000216,PO00045,MED067,824,63,51912,Delivered"
"LINE000217,PO00045,MED088,1126,95,106970,Delivered"
"LINE000218,PO00046,MED008,1414,25,35350,Delivered"
"LINE000219,PO00046,MED064,1402,82,114964,Delivered"
"LINE000220,PO00046,MED070,530,81,42930,Delivered"
"LINE000221,PO00046,MED083,1353,181,244893,Delivered"
"LINE000222,PO00047,MED010,1202,38,45676,Delivered"
"LINE000223,PO00047,MED062,522,73,38106,Delivered"
"LINE000224,PO00047,MED082,830,65,53950,Delivered"
"LINE000225,PO00047,MED084,774,39,30186,Delivered"
"LINE000226,PO00048,MED011,1483,210,311430,Delivered"
"LINE000227,PO00048,MED012,1520,229,348080,Delivered"
"LINE000228,PO00048,MED018,953,465,443145,Delivered"
"LINE000229,PO00048,MED042,1488,164,244032,Delivered"
"LINE000230,PO00048,MED045,1256,196,246176,Delivered"
"LINE000231,PO00048,MED052,621,92,57132,Delivered"
"LINE000232,PO00048,MED059,1355,41,55555,Delivered"
"LINE000233,PO00048,MED071,1055,319,336545,Delivered"
"LINE000234,PO00048,MED076,1116,345,385020,Delivered"
"LINE000235,PO00048,MED100,1311,330,432630,Delivered"
"LINE000236,PO00049,MED013,1157,388,448916,Delivered"
"LINE000237,PO00049,MED022,684,393,268812,Delivered"
"LINE000238,PO00049,MED024,982,332,326024,Delivered"
"LINE000239,PO00049,MED036,722,393,283746,Delivered"
"LINE000240,PO00049,MED077,1425,387,551475,Delivered"
"LINE000241,PO00050,MED014,755,337,254435,Delivered"
"LINE000242,PO00050,MED041,1234,336,414624,Delivered"
"LINE000243,PO00050,MED054,1253,303,379659,Delivered"
"LINE000244,PO00050,MED055,1123,74,83102,Delivered"
"LINE000245,PO00050,MED074,761,511,388871,Delivered"
"LINE000246,PO00051,MED015,595,423,251685,Delivered"
"LINE000247,PO00051,MED032,909,749,680841,Delivered"
"LINE000248,PO00051,MED034,1449,736,1066464,Delivered"
"LINE000249,PO00051,MED056,1249,245,306005,Delivered"
"LINE000250,PO00051,MED079,1460,266,388360,Delivered"
"LINE000251,PO00052,MED016,1257,493,619701,Delivered"
"LINE000252,PO00052,MED020,1283,356,456748,Delivered"
"LINE000253,PO00052,MED031,915,525,480375,Delivered"
"LINE000254,PO00052,MED033,1033,239,246887,Delivered"
"LINE000255,PO00052,MED051,581,304,176624,Delivered"
"LINE000256,PO00052,MED060,1272,93,118296,Delivered"
"LINE000257,PO00052,MED075,671,301,201971,Delivered"
"LINE000258,PO00052,MED097,1501,518,777518,Delivered"
"LINE000259,PO00053,MED017,1366,373,509518,Delivered"
"LINE000260,PO00053,MED037,612,84,51408,Delivered"
"LINE000261,PO00053,MED038,851,273,232323,Delivered"
"LINE000262,PO00053,MED048,743,345,256335,Delivered"
"LINE000263,PO00053,MED058,1013,89,90157,Delivered"
"LINE000264,PO00053,MED093,893,1286,1148398,Delivered"
"LINE000265,PO00054,MED019,1013,271,274523,Delivered"
"LINE000266,PO00054,MED029,1374,560,769440,Delivered"
"LINE000267,PO00054,MED039,513,349,179037,Delivered"
"LINE000268,PO00054,MED043,871,50,43550,Delivered"
"LINE000269,PO00054,MED047,1223,118,144314,Delivered"
"LINE000270,PO00054,MED050,719,271,194849,Delivered"
"LINE000271,PO00054,MED053,1135,131,148685,Delivered"
"LINE000272,PO00054,MED091,1007,1352,1361464,Delivered"
"LINE000273,PO00055,MED021,634,240,152160,Delivered"
"LINE000274,PO00055,MED023,1486,101,150086,Delivered"
"LINE000275,PO00055,MED030,1176,731,859656,Delivered"
"LINE000276,PO00055,MED044,1396,358,499768,Delivered"
"LINE000277,PO00055,MED078,598,102,60996,Delivered"
"LINE000278,PO00056,MED025,545,315,171675,Delivered"
"LINE000279,PO00056,MED028,1406,108,151848,Delivered"
"LINE000280,PO00056,MED080,1386,237,328482,Delivered"
"LINE000281,PO00056,MED099,1140,478,544920,Delivered"
"LINE000282,PO00057,MED026,1265,610,771650,Delivered"
"LINE000283,PO00057,MED027,1475,524,772900,Delivered"
"LINE000284,PO00057,MED049,1324,43,56932,Delivered"
"LINE000285,PO00057,MED057,798,120,95760,Delivered"
"LINE000286,PO00057,MED095,979,792,775368,Delivered"
"LINE000287,PO00057,MED098,1098,388,426024,Delivered"
"LINE000288,PO00058,MED035,1305,612,798660,Delivered"
"LINE000289,PO00058,MED040,1205,160,192800,Delivered"
"LINE000290,PO00058,MED046,697,303,211191,Delivered"
"LINE000291,PO00058,MED072,1016,320,325120,Delivered"
"LINE000292,PO00058,MED073,1178,505,594890,Delivered"
"LINE000293,PO00058,MED092,541,847,458227,Delivered"
"LINE000294,PO00058,MED094,952,1362,1296624,Delivered"
"LINE000295,PO00058,MED096,657,491,322587,Delivered"
"LINE000296,PO00059,MED063,527,112,59024,Delivered"
"LINE000297,PO00059,MED068,1368,53,72504,Delivered"
"LINE000298,PO00059,MED089,1374,33,45342,Delivered"
"LINE000299,PO00060,MED069,1047,93,97371,Delivered"
"LINE000300,PO00060,MED090,1497,112,167664,Delivered"
"LINE000301,PO00061,MED001,1403,43,60329,Delivered"
"LINE000302,PO00061,MED004,925,35,32375,Delivered"
"LINE000303,PO00061,MED006,1194,37,44178,Delivered"
"LINE000304,PO00061,MED061,590,23,13570,Delivered"
"LINE000305,PO00061,MED084,788,39,30732,Delivered"
"LINE000306,PO00062,MED002,689,29,19981,Delivered"
"LINE000307,PO00062,MED005,1451,33,47883,Delivered"
"LINE000308,PO00062,MED063,535,112,59920,Delivered"
"LINE000309,PO00062,MED067,974,63,61362,Delivered"
"LINE000310,PO00062,MED081,547,148,80956,Delivered"
"LINE000311,PO00062,MED082,738,65,47970,Delivered"
"LINE000312,PO00062,MED083,985,181,178285,Delivered"
"LINE000313,PO00063,MED003,568,22,12496,Delivered"
"LINE000314,PO00063,MED007,1071,25,26775,Delivered"
"LINE000315,PO00063,MED064,911,82,74702,Delivered"
"LINE000316,PO00063,MED089,971,33,32043,Delivered"
"LINE000317,PO00063,MED090,1431,112,160272,Delivered"
"LINE000318,PO00064,MED008,862,25,21550,Delivered"
"LINE000319,PO00064,MED009,740,38,28120,Delivered"
"LINE000320,PO00064,MED065,1506,37,55722,Delivered"
"LINE000321,PO00064,MED069,1340,93,124620,Delivered"
"LINE000322,PO00064,MED086,1327,89,118103,Delivered"
"LINE000323,PO00064,MED088,1235,95,117325,Delivered"
"LINE000324,PO00065,MED010,734,38,27892,Delivered"
"LINE000325,PO00065,MED066,1252,109,136468,Delivered"
"LINE000326,PO00065,MED087,728,113,82264,Delivered"
"LINE000327,PO00066,MED011,1215,210,255150,Delivered"
"LINE000328,PO00066,MED016,715,493,352495,Delivered"
"LINE000329,PO00066,MED042,1275,164,209100,Delivered"
"LINE000330,PO00066,MED094,1024,1362,1394688,Delivered"
"LINE000331,PO00066,MED098,689,388,267332,Delivered"
"LINE000332,PO00067,MED012,1408,229,322432,Delivered"
"LINE000333,PO00067,MED023,1456,101,147056,Delivered"
"LINE000334,PO00067,MED031,1504,525,789600,Delivered"
"LINE000335,PO00067,MED048,591,345,203895,Delivered"
"LINE000336,PO00067,MED053,1246,131,163226,Delivered"
"LINE000337,PO00067,MED095,1002,792,793584,Delivered"
"LINE000338,PO00068,MED013,623,388,241724,Delivered"
"LINE000339,PO00068,MED041,862,336,289632,Delivered"
"LINE000340,PO00068,MED051,1253,304,380912,Delivered"
"LINE000341,PO00068,MED055,1136,74,84064,Delivered"
"LINE000342,PO00068,MED091,1282,1352,1733264,Delivered"
"LINE000343,PO00068,MED097,661,518,342398,Delivered"
"LINE000344,PO00069,MED014,569,337,191753,Delivered"
"LINE000345,PO00069,MED019,637,271,172627,Delivered"
"LINE000346,PO00069,MED029,984,560,551040,Delivered"
"LINE000347,PO00069,MED037,1187,84,99708,Delivered"
"LINE000348,PO00069,MED049,794,43,34142,Delivered"
"LINE000349,PO00069,MED054,1019,303,308757,Delivered"
"LINE000350,PO00069,MED059,742,41,30422,Delivered"
"LINE000351,PO00069,MED072,613,320,196160,Delivered"
"LINE000352,PO00069,MED073,728,505,367640,Delivered"
"LINE000353,PO00069,MED074,1165,511,595315,Delivered"
"LINE000354,PO00070,MED015,934,423,395082,Delivered"
"LINE000355,PO00070,MED020,770,356,274120,Delivered"
"LINE000356,PO00070,MED025,1214,315,382410,Delivered"
"LINE000357,PO00070,MED052,906,92,83352,Delivered"
"LINE000358,PO00070,MED079,519,266,138054,Delivered"
"LINE000359,PO00071,MED017,892,373,332716,Delivered"
"LINE000360,PO00071,MED027,1386,524,726264,Delivered"
"LINE000361,PO00071,MED033,933,239,222987,Delivered"
"LINE000362,PO00071,MED034,527,736,387872,Delivered"
"LINE000363,PO00071,MED038,1436,273,392028,Delivered"
"LINE000364,PO00071,MED043,743,50,37150,Delivered"
"LINE000365,PO00071,MED046,1421,303,430563,Delivered"
"LINE000366,PO00071,MED076,648,345,223560,Delivered"
"LINE000367,PO00071,MED092,1422,847,1204434,Delivered"
"LINE000368,PO00071,MED093,755,1286,970930,Delivered"
"LINE000369,PO00072,MED018,831,465,386415,Delivered"
"LINE000370,PO00072,MED032,543,749,406707,Delivered"
"LINE000371,PO00072,MED036,1008,393,396144,Delivered"
"LINE000372,PO00072,MED071,1280,319,408320,Delivered"
"LINE000373,PO00072,MED075,789,301,237489,Delivered"
"LINE000374,PO00072,MED077,1461,387,565407,Delivered"
"LINE000375,PO00072,MED080,1441,237,341517,Delivered"
"LINE000376,PO00073,MED021,887,240,212880,Delivered"
"LINE000377,PO00073,MED026,789,610,481290,Delivered"
"LINE000378,PO00073,MED035,876,612,536112,Delivered"
"LINE000379,PO00073,MED039,1486,349,518614,Delivered"
"LINE000380,PO00073,MED078,659,102,67218,Delivered"
"LINE000381,PO00074,MED022,852,393,334836,Delivered"
"LINE000382,PO00074,MED058,790,89,70310,Delivered"
"LINE000383,PO00074,MED060,536,93,49848,Delivered"
"LINE000384,PO00074,MED100,1486,330,490380,Delivered"
"LINE000385,PO00075,MED024,707,332,234724,Delivered"
"LINE000386,PO00075,MED030,1067,731,779977,Delivered"
"LINE000387,PO00075,MED045,585,196,114660,Delivered"
"LINE000388,PO00075,MED047,836,118,98648,Delivered"
"LINE000389,PO00075,MED096,724,491,355484,Delivered"
"LINE000390,PO00075,MED099,1305,478,623790,Delivered"
"LINE000391,PO00076,MED028,874,108,94392,Delivered"
"LINE000392,PO00076,MED040,562,160,89920,Delivered"
"LINE000393,PO00076,MED044,926,358,331508,Delivered"
"LINE000394,PO00076,MED050,1407,271,381297,Delivered"
"LINE000395,PO00076,MED056,1240,245,303800,Delivered"
"LINE000396,PO00076,MED057,719,120,86280,Delivered"
"LINE000397,PO00077,MED062,875,73,63875,Delivered"
"LINE000398,PO00078,MED068,997,53,52841,Delivered"
"LINE000399,PO00078,MED085,839,69,57891,Delivered"
"LINE000400,PO00079,MED070,1211,81,98091,Delivered"
"LINE000401,PO00080,MED001,1046,43,44978,Delivered"
"LINE000402,PO00080,MED089,850,33,28050,Delivered"
"LINE000403,PO00081,MED002,922,29,26738,Delivered"
"LINE000404,PO00081,MED007,1341,25,33525,Delivered"
"LINE000405,PO00081,MED009,804,38,30552,Delivered"
"LINE000406,PO00082,MED003,1012,22,22264,Delivered"
"LINE000407,PO00082,MED065,566,37,20942,Delivered"
"LINE000408,PO00082,MED083,1242,181,224802,Delivered"
"LINE000409,PO00082,MED086,626,89,55714,Delivered"
"LINE000410,PO00082,MED088,1298,95,123310,Delivered"
"LINE000411,PO00083,MED004,1254,35,43890,Delivered"
"LINE000412,PO00083,MED081,704,148,104192,Delivered"
"LINE000413,PO00084,MED005,785,33,25905,Delivered"
"LINE000414,PO00084,MED006,808,37,29896,Delivered"
"LINE000415,PO00084,MED064,908,82,74456,Delivered"
"LINE000416,PO00084,MED067,816,63,51408,Delivered"
"LINE000417,PO00084,MED070,1319,81,106839,Delivered"
"LINE000418,PO00085,MED008,834,25,20850,Delivered"
"LINE000419,PO00085,MED061,649,23,14927,Delivered"
"LINE000420,PO00085,MED066,1460,109,159140,Delivered"
"LINE000421,PO00085,MED090,524,112,58688,Delivered"
"LINE000422,PO00086,MED010,789,38,29982,Delivered"
"LINE000423,PO00086,MED068,922,53,48866,Delivered"
"LINE000424,PO00086,MED069,1330,93,123690,Delivered"
"LINE000425,PO00086,MED082,1338,65,86970,Delivered"
"LINE000426,PO00086,MED087,568,113,64184,Delivered"
"LINE000427,PO00087,MED011,1108,210,232680,Delivered"
"LINE000428,PO00087,MED035,834,612,510408,Delivered"
"LINE000429,PO00087,MED044,860,358,307880,Delivered"
"LINE000430,PO00087,MED059,834,41,34194,Delivered"
"LINE000431,PO00087,MED060,1037,93,96441,Delivered"
"LINE000432,PO00087,MED072,886,320,283520,Delivered"
"LINE000433,PO00087,MED100,1372,330,452760,Delivered"
"LINE000434,PO00088,MED012,908,229,207932,Delivered"
"LINE000435,PO00088,MED020,771,356,274476,Delivered"
"LINE000436,PO00088,MED024,1250,332,415000,Delivered"
"LINE000437,PO00088,MED076,1438,345,496110,Delivered"
"LINE000438,PO00088,MED078,772,102,78744,Delivered"
"LINE000439,PO00088,MED080,1025,237,242925,Delivered"
"LINE000440,PO00089,MED013,671,388,260348,Delivered"
"LINE000441,PO00089,MED014,1226,337,413162,Delivered"
"LINE000442,PO00089,MED029,1424,560,797440,Delivered"
"LINE000443,PO00089,MED033,1044,239,249516,Delivered"
"LINE000444,PO00089,MED036,1108,393,435444,Delivered"
"LINE000445,PO00089,MED046,1333,303,403899,Delivered"
"LINE000446,PO00089,MED073,1493,505,753965,Delivered"
"LINE000447,PO00089,MED091,925,1352,1250600,Delivered"
"LINE000448,PO00090,MED015,1410,423,596430,Delivered"
"LINE000449,PO00090,MED016,718,493,353974,Delivered"
"LINE000450,PO00090,MED017,901,373,336073,Delivered"
"LINE000451,PO00090,MED018,585,465,272025,Delivered"
"LINE000452,PO00090,MED031,1163,525,610575,Delivered"
"LINE000453,PO00090,MED032,682,749,510818,Delivered"
"LINE000454,PO00090,MED050,1503,271,407313,Delivered"
"LINE000455,PO00090,MED051,1039,304,315856,Delivered"
"LINE000456,PO00090,MED054,1183,303,358449,Delivered"
"LINE000457,PO00090,MED094,811,1362,1104582,Delivered"
"LINE000458,PO00091,MED019,1238,271,335498,Delivered"
"LINE000459,PO00091,MED023,1020,101,103020,Delivered"
"LINE000460,PO00091,MED034,1489,736,1095904,Delivered"
"LINE000461,PO00091,MED043,1065,50,53250,Delivered"
"LINE000462,PO00091,MED045,1208,196,236768,Delivered"
"LINE000463,PO00091,MED079,563,266,149758,Delivered"
"LINE000464,PO00091,MED092,591,847,500577,Delivered"
"LINE000465,PO00091,MED095,1177,792,932184,Delivered"
"LINE000466,PO00091,MED096,743,491,364813,Delivered"
"LINE000467,PO00092,MED021,1330,240,319200,Delivered"
"LINE000468,PO00092,MED026,932,610,568520,Delivered"
"LINE000469,PO00092,MED037,620,84,52080,Delivered"
"LINE000470,PO00092,MED038,824,273,224952,Delivered"
