"TransactionID,TransactionDate,HospitalID,ProductID,BatchNumber,TransactionType,Quantity,ReferenceID,DeliveryStatus"
"REC000027,2025-01-25,H001,MED039,B481050,Receipt,1396,PO00006,On Time"
"REC000028,2025-01-25,H001,MED047,B391999,Receipt,899,PO00006,On Time"
"REC000029,2025-01-25,H001,MED073,B311810,Receipt,1162,PO00006,On Time"
"REC000030,2025-01-25,H001,MED078,B120056,Receipt,1415,PO00006,On Time"
"REC000031,2025-01-25,H001,MED096,B844086,Receipt,1071,PO00006,On Time"
"REC000032,2025-02-11,H001,MED012,B905889,Receipt,1361,PO00007,On Time"
"REC000033,2025-02-11,H001,MED025,B318126,Receipt,1266,PO00007,On Time"
"REC000034,2025-02-11,H001,MED029,B515515,Receipt,905,PO00007,On Time"
"REC000035,2025-02-11,H001,MED032,B554589,Receipt,1352,PO00007,On Time"
"REC000036,2025-02-11,H001,MED035,B314283,Receipt,1474,PO00007,On Time"
"REC000037,2025-02-11,H001,MED043,B314835,Receipt,600,PO00007,On Time"
"REC000038,2025-02-11,H001,MED051,B177505,Receipt,1176,PO00007,On Time"
"REC000039,2025-02-03,H001,MED013,B371836,Receipt,551,PO00008,On Time"
"REC000040,2025-02-03,H001,MED050,B757917,Receipt,1325,PO00008,On Time"
"REC000041,2025-02-03,H001,MED055,B250810,Receipt,1076,PO00008,On Time"
"REC000042,2025-01-30,H001,MED014,B323165,Receipt,910,PO00009,Delayed"
"REC000043,2025-01-30,H001,MED021,B130535,Receipt,703,PO00009,Delayed"
"REC000044,2025-01-30,H001,MED022,B747972,Receipt,754,PO00009,Delayed"
"REC000045,2025-01-30,H001,MED028,B264899,Receipt,576,PO00009,Delayed"
"REC000046,2025-01-30,H001,MED031,B388249,Receipt,550,PO00009,Delayed"
"REC000047,2025-01-30,H001,MED045,B654594,Receipt,849,PO00009,Delayed"
"REC000048,2025-01-30,H001,MED049,B768234,Receipt,1154,PO00009,Delayed"
"REC000049,2025-01-30,H001,MED056,B469599,Receipt,896,PO00009,Delayed"
"REC000050,2025-01-30,H001,MED058,B405628,Receipt,755,PO00009,Delayed"
"REC000051,2025-01-30,H001,MED059,B920260,Receipt,697,PO00009,Delayed"
"REC000052,2025-01-30,H001,MED072,B711523,Receipt,664,PO00009,Delayed"
"REC000053,2025-01-30,H001,MED077,B850201,Receipt,616,PO00009,Delayed"
"REC000054,2025-01-30,H001,MED097,B695468,Receipt,1190,PO00009,Delayed"
"REC000055,2025-01-30,H001,MED099,B664242,Receipt,1141,PO00009,Delayed"
"REC000056,2025-02-07,H001,MED015,B453531,Receipt,764,PO00010,Delayed"
"REC000057,2025-02-07,H001,MED040,B713333,Receipt,1077,PO00010,Delayed"
"REC000058,2025-02-07,H001,MED048,B690978,Receipt,868,PO00010,Delayed"
"REC000059,2025-02-07,H001,MED054,B500109,Receipt,1204,PO00010,Delayed"
"REC000060,2025-02-07,H001,MED094,B930857,Receipt,754,PO00010,Delayed"
"REC000061,2025-02-07,H001,MED095,B969474,Receipt,633,PO00010,Delayed"
"REC000062,2025-01-23,H001,MED016,B567281,Receipt,1424,PO00011,On Time"
"REC000063,2025-01-23,H001,MED053,B710704,Receipt,1317,PO00011,On Time"
"REC000064,2025-01-23,H001,MED075,B727769,Receipt,1423,PO00011,On Time"
"REC000065,2025-01-23,H001,MED098,B734736,Receipt,1448,PO00011,On Time"
"REC000066,2025-02-04,H001,MED017,B532315,Receipt,982,PO00012,On Time"
"REC000067,2025-02-04,H001,MED046,B473616,Receipt,861,PO00012,On Time"
"REC000068,2025-02-04,H001,MED052,B138467,Receipt,1341,PO00012,On Time"
"REC000069,2025-02-04,H001,MED057,B727234,Receipt,1196,PO00012,On Time"
"REC000070,2025-01-29,H001,MED018,B476896,Receipt,720,PO00013,Delayed"
"REC000071,2025-01-29,H001,MED019,B236330,Receipt,915,PO00013,Delayed"
"REC000072,2025-01-29,H001,MED026,B872838,Receipt,662,PO00013,Delayed"
"REC000073,2025-01-29,H001,MED034,B979989,Receipt,1198,PO00013,Delayed"
"REC000074,2025-01-29,H001,MED036,B840976,Receipt,1154,PO00013,Delayed"
"REC000075,2025-01-29,H001,MED071,B213632,Receipt,755,PO00013,Delayed"
"REC000076,2025-01-29,H001,MED076,B283062,Receipt,1469,PO00013,Delayed"
"REC000077,2025-01-29,H001,MED092,B906790,Receipt,852,PO00013,Delayed"
"REC000078,2025-01-28,H001,MED023,B301664,Receipt,1220,PO00014,On Time"
"REC000079,2025-01-28,H001,MED027,B835716,Receipt,853,PO00014,On Time"
"REC000080,2025-01-28,H001,MED037,B998613,Receipt,1010,PO00014,On Time"
"REC000081,2025-01-28,H001,MED041,B710490,Receipt,912,PO00014,On Time"
"REC000082,2025-01-28,H001,MED044,B373255,Receipt,1081,PO00014,On Time"
"REC000083,2025-01-28,H001,MED074,B970045,Receipt,654,PO00014,On Time"
"REC000084,2025-01-23,H001,MED024,B723094,Receipt,584,PO00015,On Time"
"REC000085,2025-01-23,H001,MED030,B981691,Receipt,892,PO00015,On Time"
"REC000086,2025-01-23,H001,MED091,B712956,Receipt,601,PO00015,On Time"
"REC000087,2025-01-23,H001,MED093,B231484,Receipt,601,PO00015,On Time"
"REC000088,2025-01-23,H001,MED100,B825256,Receipt,1491,PO00015,On Time"
"REC000089,2025-01-21,H001,MED042,B418394,Receipt,1050,PO00016,On Time"
"REC000090,2025-01-21,H001,MED060,B559451,Receipt,786,PO00016,On Time"
"REC000091,2025-01-21,H001,MED079,B765022,Receipt,664,PO00016,On Time"
"REC000092,2025-01-21,H001,MED080,B612153,Receipt,1501,PO00016,On Time"
"REC000093,2025-01-07,H001,MED063,B118070,Receipt,875,PO00017,On Time"
"REC000094,2025-01-07,H001,MED068,B766326,Receipt,1476,PO00017,On Time"
"REC000095,2025-01-07,H001,MED064,B258823,Receipt,1470,PO00018,On Time"
"REC000096,2025-01-07,H001,MED081,B547556,Receipt,789,PO00018,On Time"
"REC000097,2025-01-07,H001,MED083,B555968,Receipt,1194,PO00018,On Time"
"REC000098,2025-01-04,H001,MED067,B584299,Receipt,1391,PO00019,On Time"
"REC000099,2025-01-04,H001,MED084,B834965,Receipt,737,PO00020,On Time"
"REC000100,2025-01-04,H001,MED087,B291962,Receipt,1386,PO00020,On Time"
"REC000101,2025-01-08,H002,MED001,B940530,Receipt,695,PO00021,On Time"
"REC000102,2025-01-07,H002,MED002,B766490,Receipt,1064,PO00022,On Time"
"REC000103,2025-01-07,H002,MED007,B905497,Receipt,1322,PO00022,On Time"
"REC000104,2025-01-07,H002,MED067,B932946,Receipt,697,PO00022,On Time"
"REC000105,2025-01-04,H002,MED003,B252617,Receipt,927,PO00023,On Time"
"REC000106,2025-01-04,H002,MED005,B279208,Receipt,854,PO00023,On Time"
"REC000107,2025-01-04,H002,MED008,B128295,Receipt,572,PO00023,On Time"
"REC000108,2025-01-04,H002,MED064,B890756,Receipt,1429,PO00023,On Time"
"REC000109,2025-01-04,H002,MED066,B899666,Receipt,1316,PO00023,On Time"
"REC000110,2025-01-04,H002,MED081,B243026,Receipt,715,PO00023,On Time"
"REC000111,2025-01-04,H002,MED089,B302967,Receipt,685,PO00023,On Time"
"REC000112,2025-01-04,H002,MED004,B138102,Receipt,1350,PO00024,On Time"
"REC000113,2025-01-04,H002,MED009,B977699,Receipt,713,PO00024,On Time"
"REC000114,2025-01-04,H002,MED070,B656542,Receipt,1397,PO00024,On Time"
"REC000115,2025-01-04,H002,MED082,B692016,Receipt,1170,PO00024,On Time"
"REC000116,2025-01-07,H002,MED006,B625830,Receipt,1176,PO00025,On Time"
"REC000117,2025-01-07,H002,MED065,B784106,Receipt,1175,PO00025,On Time"
"REC000118,2025-01-07,H002,MED068,B164323,Receipt,1179,PO00025,On Time"
"REC000119,2025-01-07,H002,MED069,B954016,Receipt,1328,PO00025,On Time"
"REC000120,2025-01-07,H002,MED086,B984152,Receipt,1459,PO00025,On Time"
"REC000121,2025-01-05,H002,MED010,B334677,Receipt,1093,PO00026,On Time"
"REC000122,2025-01-05,H002,MED084,B910951,Receipt,925,PO00026,On Time"
"REC000123,2025-01-05,H002,MED088,B274944,Receipt,862,PO00026,On Time"
"REC000124,2025-01-28,H002,MED011,B639773,Receipt,1357,PO00027,On Time"
"REC000125,2025-01-28,H002,MED019,B986089,Receipt,1465,PO00027,On Time"
"REC000126,2025-01-28,H002,MED073,B872042,Receipt,721,PO00027,On Time"
"REC000127,2025-01-28,H002,MED076,B872608,Receipt,690,PO00027,On Time"
"REC000128,2025-01-28,H002,MED078,B879554,Receipt,622,PO00027,On Time"
"REC000129,2025-01-28,H002,MED095,B191751,Receipt,1209,PO00027,On Time"
"REC000130,2025-01-23,H002,MED012,B130355,Receipt,959,PO00028,On Time"
"REC000131,2025-01-23,H002,MED016,B292714,Receipt,1347,PO00028,On Time"
"REC000132,2025-01-23,H002,MED022,B644447,Receipt,1017,PO00028,On Time"
"REC000133,2025-01-23,H002,MED030,B263273,Receipt,985,PO00028,On Time"
"REC000134,2025-01-23,H002,MED042,B728861,Receipt,1011,PO00028,On Time"
"REC000135,2025-01-23,H002,MED045,B463714,Receipt,1335,PO00028,On Time"
"REC000136,2025-01-23,H002,MED046,B517170,Receipt,920,PO00028,On Time"
"REC000137,2025-01-23,H002,MED058,B631849,Receipt,1458,PO00028,On Time"
"REC000138,2025-01-23,H002,MED079,B599097,Receipt,1189,PO00028,On Time"
"REC000139,2025-01-23,H002,MED093,B155318,Receipt,1411,PO00028,On Time"
"REC000140,2025-01-23,H002,MED094,B306988,Receipt,893,PO00028,On Time"
"REC000141,2025-01-25,H002,MED013,B663586,Receipt,571,PO00029,On Time"
"REC000142,2025-01-25,H002,MED023,B790907,Receipt,618,PO00029,On Time"
"REC000143,2025-01-25,H002,MED036,B585450,Receipt,1271,PO00029,On Time"
"REC000144,2025-01-25,H002,MED060,B696562,Receipt,690,PO00029,On Time"
"REC000145,2025-02-01,H002,MED014,B313920,Receipt,618,PO00030,On Time"
"REC000146,2025-02-01,H002,MED024,B538661,Receipt,764,PO00030,On Time"
"REC000147,2025-02-01,H002,MED028,B932972,Receipt,580,PO00030,On Time"
"REC000148,2025-02-01,H002,MED032,B136187,Receipt,1274,PO00030,On Time"
"REC000149,2025-02-01,H002,MED056,B321897,Receipt,1072,PO00030,On Time"
"REC000150,2025-02-01,H002,MED059,B126069,Receipt,1078,PO00030,On Time"
"REC000151,2025-02-04,H002,MED015,B753983,Receipt,1408,PO00031,On Time"
"REC000152,2025-02-04,H002,MED020,B260775,Receipt,1359,PO00031,On Time"
"REC000153,2025-02-04,H002,MED038,B880722,Receipt,1052,PO00031,On Time"
"REC000154,2025-02-04,H002,MED049,B503704,Receipt,1249,PO00031,On Time"
"REC000155,2025-02-04,H002,MED052,B735605,Receipt,1389,PO00031,On Time"
"REC000156,2025-02-04,H002,MED072,B105287,Receipt,628,PO00031,On Time"
"REC000157,2025-02-04,H002,MED099,B232717,Receipt,739,PO00031,On Time"
"REC000158,2025-02-03,H002,MED017,B738353,Receipt,886,PO00032,On Time"
"REC000159,2025-02-03,H002,MED025,B578007,Receipt,951,PO00032,On Time"
"REC000160,2025-02-03,H002,MED037,B106949,Receipt,984,PO00032,On Time"
"REC000161,2025-02-03,H002,MED044,B682531,Receipt,622,PO00032,On Time"
"REC000162,2025-02-03,H002,MED071,B814743,Receipt,1214,PO00032,On Time"
"REC000163,2025-02-03,H002,MED077,B632295,Receipt,913,PO00032,On Time"
"REC000164,2025-02-03,H002,MED092,B695603,Receipt,966,PO00032,On Time"
"REC000165,2025-01-23,H002,MED018,B601108,Receipt,648,PO00033,On Time"
"REC000166,2025-01-23,H002,MED021,B730075,Receipt,1409,PO00033,On Time"
"REC000167,2025-01-23,H002,MED035,B381342,Receipt,1030,PO00033,On Time"
"REC000168,2025-01-23,H002,MED040,B465340,Receipt,1352,PO00033,On Time"
"REC000169,2025-01-23,H002,MED041,B750199,Receipt,524,PO00033,On Time"
"REC000170,2025-01-23,H002,MED053,B345121,Receipt,910,PO00033,On Time"
"REC000171,2025-01-23,H002,MED080,B618545,Receipt,1316,PO00033,On Time"
"REC000172,2025-01-29,H002,MED026,B161813,Receipt,1476,PO00034,Delayed"
"REC000173,2025-01-29,H002,MED027,B686580,Receipt,1505,PO00034,Delayed"
"REC000174,2025-01-29,H002,MED034,B960395,Receipt,1116,PO00034,Delayed"
"REC000175,2025-01-29,H002,MED047,B441396,Receipt,1374,PO00034,Delayed"
"REC000176,2025-01-29,H002,MED048,B151745,Receipt,1054,PO00034,Delayed"
"REC000177,2025-01-29,H002,MED051,B572930,Receipt,1381,PO00034,Delayed"
"REC000178,2025-01-29,H002,MED054,B760482,Receipt,1124,PO00034,Delayed"
"REC000179,2025-01-29,H002,MED074,B142078,Receipt,980,PO00034,Delayed"
"REC000180,2025-01-29,H002,MED091,B532882,Receipt,648,PO00034,Delayed"
"REC000181,2025-01-23,H002,MED029,B374907,Receipt,1255,PO00035,On Time"
"REC000182,2025-01-23,H002,MED033,B686165,Receipt,1308,PO00035,On Time"
"REC000183,2025-01-23,H002,MED039,B350875,Receipt,1345,PO00035,On Time"
"REC000184,2025-01-23,H002,MED050,B480975,Receipt,1202,PO00035,On Time"
"REC000185,2025-01-23,H002,MED055,B729474,Receipt,1306,PO00035,On Time"
"REC000186,2025-01-23,H002,MED096,B295716,Receipt,1325,PO00035,On Time"
"REC000187,2025-01-23,H002,MED097,B820670,Receipt,1380,PO00035,On Time"
"REC000188,2025-01-23,H002,MED100,B808533,Receipt,786,PO00035,On Time"
"REC000189,2025-01-21,H002,MED031,B931538,Receipt,760,PO00036,On Time"
"REC000190,2025-01-21,H002,MED043,B779574,Receipt,1288,PO00036,On Time"
"REC000191,2025-01-21,H002,MED075,B429588,Receipt,1437,PO00036,On Time"
"REC000192,2025-01-21,H002,MED098,B562120,Receipt,878,PO00036,On Time"
"REC000193,2025-02-11,H002,MED057,B672203,Receipt,656,PO00037,On Time"
"REC000194,2025-01-04,H002,MED061,B699991,Receipt,692,PO00038,On Time"
"REC000195,2025-01-04,H002,MED085,B367552,Receipt,1394,PO00038,On Time"
"REC000196,2025-01-05,H002,MED062,B216421,Receipt,1358,PO00039,On Time"
"REC000197,2025-01-05,H002,MED063,B962557,Receipt,526,PO00039,On Time"
"REC000198,2025-01-05,H002,MED083,B192263,Receipt,743,PO00039,On Time"
"REC000199,2025-01-05,H002,MED087,B465821,Receipt,1481,PO00039,On Time"
"REC000200,2025-01-04,H002,MED090,B184291,Receipt,1245,PO00040,On Time"
"REC000201,2025-01-05,H003,MED001,B157545,Receipt,1311,PO00041,On Time"
"REC000202,2025-01-05,H003,MED065,B811998,Receipt,973,PO00041,On Time"
"REC000203,2025-01-05,H003,MED081,B823035,Receipt,1507,PO00041,On Time"
"REC000204,2025-01-05,H003,MED085,B570452,Receipt,1233,PO00041,On Time"
"REC000205,2025-01-04,H003,MED002,B950163,Receipt,623,PO00042,On Time"
"REC000206,2025-01-04,H003,MED061,B132733,Receipt,763,PO00042,On Time"
"REC000207,2025-01-04,H003,MED066,B966867,Receipt,909,PO00042,On Time"
"REC000208,2025-01-08,H003,MED003,B632954,Receipt,1396,PO00043,On Time"
"REC000209,2025-01-08,H003,MED007,B857907,Receipt,1239,PO00043,On Time"
"REC000210,2025-01-08,H003,MED009,B193501,Receipt,590,PO00043,On Time"
"REC000211,2025-01-08,H003,MED086,B289004,Receipt,585,PO00043,On Time"
"REC000212,2025-01-04,H003,MED004,B752026,Receipt,952,PO00044,On Time"
"REC000213,2025-01-04,H003,MED006,B765755,Receipt,593,PO00044,On Time"
"REC000214,2025-01-04,H003,MED087,B175418,Receipt,595,PO00044,On Time"
"REC000215,2025-01-07,H003,MED005,B906388,Receipt,1236,PO00045,On Time"
"REC000216,2025-01-07,H003,MED067,B531413,Receipt,824,PO00045,On Time"
"REC000217,2025-01-07,H003,MED088,B268383,Receipt,1126,PO00045,On Time"
"REC000218,2025-01-04,H003,MED008,B251878,Receipt,1414,PO00046,On Time"
"REC000219,2025-01-04,H003,MED064,B143001,Receipt,1402,PO00046,On Time"
"REC000220,2025-01-04,H003,MED070,B555699,Receipt,530,PO00046,On Time"
"REC000221,2025-01-04,H003,MED083,B169274,Receipt,1353,PO00046,On Time"
"REC000222,2025-01-04,H003,MED010,B697135,Receipt,1202,PO00047,On Time"
"REC000223,2025-01-04,H003,MED062,B999005,Receipt,522,PO00047,On Time"
"REC000224,2025-01-04,H003,MED082,B526346,Receipt,830,PO00047,On Time"
"REC000225,2025-01-04,H003,MED084,B174553,Receipt,774,PO00047,On Time"
"REC000226,2025-01-23,H003,MED011,B357009,Receipt,1483,PO00048,On Time"
"REC000227,2025-01-23,H003,MED012,B400709,Receipt,1520,PO00048,On Time"
"REC000228,2025-01-23,H003,MED018,B525037,Receipt,953,PO00048,On Time"
"REC000229,2025-01-23,H003,MED042,B124354,Receipt,1488,PO00048,On Time"
"REC000230,2025-01-23,H003,MED045,B251563,Receipt,1256,PO00048,On Time"
"REC000231,2025-01-23,H003,MED052,B711600,Receipt,621,PO00048,On Time"
"REC000232,2025-01-23,H003,MED059,B293259,Receipt,1355,PO00048,On Time"
"REC000233,2025-01-23,H003,MED071,B474999,Receipt,1055,PO00048,On Time"
"REC000234,2025-01-23,H003,MED076,B125559,Receipt,1116,PO00048,On Time"
"REC000235,2025-01-23,H003,MED100,B395900,Receipt,1311,PO00048,On Time"
"REC000236,2025-01-30,H003,MED013,B402950,Receipt,1157,PO00049,Delayed"
"REC000237,2025-01-30,H003,MED022,B360910,Receipt,684,PO00049,Delayed"
"REC000238,2025-01-30,H003,MED024,B294269,Receipt,982,PO00049,Delayed"
"REC000239,2025-01-30,H003,MED036,B322320,Receipt,722,PO00049,Delayed"
"REC000240,2025-01-30,H003,MED077,B212217,Receipt,1425,PO00049,Delayed"
"REC000241,2025-02-03,H003,MED014,B283675,Receipt,755,PO00050,On Time"
"REC000242,2025-02-03,H003,MED041,B658296,Receipt,1234,PO00050,On Time"
"REC000243,2025-02-03,H003,MED054,B909942,Receipt,1253,PO00050,On Time"
"REC000244,2025-02-03,H003,MED055,B941052,Receipt,1123,PO00050,On Time"
"REC000245,2025-02-03,H003,MED074,B427304,Receipt,761,PO00050,On Time"
"REC000246,2025-02-11,H003,MED015,B209575,Receipt,595,PO00051,On Time"
"REC000247,2025-02-11,H003,MED032,B129402,Receipt,909,PO00051,On Time"
"REC000248,2025-02-11,H003,MED034,B201371,Receipt,1449,PO00051,On Time"
"REC000249,2025-02-11,H003,MED056,B311837,Receipt,1249,PO00051,On Time"
"REC000250,2025-02-11,H003,MED079,B626684,Receipt,1460,PO00051,On Time"
"REC000251,2025-02-04,H003,MED016,B870044,Receipt,1257,PO00052,On Time"
"REC000252,2025-02-04,H003,MED020,B890857,Receipt,1283,PO00052,On Time"
"REC000253,2025-02-04,H003,MED031,B625910,Receipt,915,PO00052,On Time"
"REC000254,2025-02-04,H003,MED033,B397881,Receipt,1033,PO00052,On Time"
"REC000255,2025-02-04,H003,MED051,B850294,Receipt,581,PO00052,On Time"
"REC000256,2025-02-04,H003,MED060,B729661,Receipt,1272,PO00052,On Time"
"REC000257,2025-02-04,H003,MED075,B932974,Receipt,671,PO00052,On Time"
"REC000258,2025-02-04,H003,MED097,B769648,Receipt,1501,PO00052,On Time"
"REC000259,2025-01-23,H003,MED017,B139986,Receipt,1366,PO00053,On Time"
"REC000260,2025-01-23,H003,MED037,B808662,Receipt,612,PO00053,On Time"
"REC000261,2025-01-23,H003,MED038,B305550,Receipt,851,PO00053,On Time"
"REC000262,2025-01-23,H003,MED048,B616142,Receipt,743,PO00053,On Time"
"REC000263,2025-01-23,H003,MED058,B993741,Receipt,1013,PO00053,On Time"
"REC000264,2025-01-23,H003,MED093,B476826,Receipt,893,PO00053,On Time"
"REC000265,2025-01-23,H003,MED019,B745588,Receipt,1013,PO00054,On Time"
"REC000266,2025-01-23,H003,MED029,B444138,Receipt,1374,PO00054,On Time"
"REC000267,2025-01-23,H003,MED039,B221789,Receipt,513,PO00054,On Time"
"REC000268,2025-01-23,H003,MED043,B713217,Receipt,871,PO00054,On Time"
"REC000269,2025-01-23,H003,MED047,B286833,Receipt,1223,PO00054,On Time"
"REC000270,2025-01-23,H003,MED050,B386214,Receipt,719,PO00054,On Time"
"REC000271,2025-01-23,H003,MED053,B550348,Receipt,1135,PO00054,On Time"
"REC000272,2025-01-23,H003,MED091,B538755,Receipt,1007,PO00054,On Time"
"REC000273,2025-01-23,H003,MED021,B267292,Receipt,634,PO00055,On Time"
"REC000274,2025-01-23,H003,MED023,B989302,Receipt,1486,PO00055,On Time"
"REC000275,2025-01-23,H003,MED030,B655941,Receipt,1176,PO00055,On Time"
"REC000276,2025-01-23,H003,MED044,B528988,Receipt,1396,PO00055,On Time"
"REC000277,2025-01-23,H003,MED078,B972388,Receipt,598,PO00055,On Time"
"REC000278,2025-01-21,H003,MED025,B356713,Receipt,545,PO00056,On Time"
"REC000279,2025-01-21,H003,MED028,B942393,Receipt,1406,PO00056,On Time"
"REC000280,2025-01-21,H003,MED080,B433863,Receipt,1386,PO00056,On Time"
"REC000281,2025-01-21,H003,MED099,B384186,Receipt,1140,PO00056,On Time"
"REC000282,2025-01-28,H003,MED026,B807280,Receipt,1265,PO00057,On Time"
"REC000283,2025-01-28,H003,MED027,B986040,Receipt,1475,PO00057,On Time"
"REC000284,2025-01-28,H003,MED049,B418420,Receipt,1324,PO00057,On Time"
"REC000285,2025-01-28,H003,MED057,B915862,Receipt,798,PO00057,On Time"
"REC000286,2025-01-28,H003,MED095,B943804,Receipt,979,PO00057,On Time"
"REC000287,2025-01-28,H003,MED098,B438076,Receipt,1098,PO00057,On Time"
"REC000288,2025-02-01,H003,MED035,B677564,Receipt,1305,PO00058,On Time"
"REC000289,2025-02-01,H003,MED040,B599137,Receipt,1205,PO00058,On Time"
"REC000290,2025-02-01,H003,MED046,B111344,Receipt,697,PO00058,On Time"
"REC000291,2025-02-01,H003,MED072,B395804,Receipt,1016,PO00058,On Time"
"REC000292,2025-02-01,H003,MED073,B773034,Receipt,1178,PO00058,On Time"
"REC000293,2025-02-01,H003,MED092,B426032,Receipt,541,PO00058,On Time"
"REC000294,2025-02-01,H003,MED094,B776555,Receipt,952,PO00058,On Time"
"REC000295,2025-02-01,H003,MED096,B327286,Receipt,657,PO00058,On Time"
"REC000296,2025-01-05,H003,MED063,B497710,Receipt,527,PO00059,On Time"
"REC000297,2025-01-05,H003,MED068,B161665,Receipt,1368,PO00059,On Time"
"REC000298,2025-01-05,H003,MED089,B580488,Receipt,1374,PO00059,On Time"
"REC000299,2025-01-07,H003,MED069,B245271,Receipt,1047,PO00060,On Time"
"REC000300,2025-01-07,H003,MED090,B715645,Receipt,1497,PO00060,On Time"
"REC000301,2025-01-04,H004,MED001,B673189,Receipt,1403,PO00061,On Time"
"REC000302,2025-01-04,H004,MED004,B529660,Receipt,925,PO00061,On Time"
"REC000303,2025-01-04,H004,MED006,B886958,Receipt,1194,PO00061,On Time"
"REC000304,2025-01-04,H004,MED061,B494583,Receipt,590,PO00061,On Time"
"REC000305,2025-01-04,H004,MED084,B751844,Receipt,788,PO00061,On Time"
"REC000306,2025-01-07,H004,MED002,B803650,Receipt,689,PO00062,On Time"
"REC000307,2025-01-07,H004,MED005,B817148,Receipt,1451,PO00062,On Time"
"REC000308,2025-01-07,H004,MED063,B990328,Receipt,535,PO00062,On Time"
"REC000309,2025-01-07,H004,MED067,B394923,Receipt,974,PO00062,On Time"
"REC000310,2025-01-07,H004,MED081,B700441,Receipt,547,PO00062,On Time"
"REC000311,2025-01-07,H004,MED082,B134084,Receipt,738,PO00062,On Time"
"REC000312,2025-01-07,H004,MED083,B262982,Receipt,985,PO00062,On Time"
"REC000313,2025-01-05,H004,MED003,B516235,Receipt,568,PO00063,On Time"
"REC000314,2025-01-05,H004,MED007,B658819,Receipt,1071,PO00063,On Time"
"REC000315,2025-01-05,H004,MED064,B949881,Receipt,911,PO00063,On Time"
"REC000316,2025-01-05,H004,MED089,B924899,Receipt,971,PO00063,On Time"
"REC000317,2025-01-05,H004,MED090,B416397,Receipt,1431,PO00063,On Time"
"REC000318,2025-01-07,H004,MED008,B754037,Receipt,862,PO00064,On Time"
"REC000319,2025-01-07,H004,MED009,B354346,Receipt,740,PO00064,On Time"
"REC000320,2025-01-07,H004,MED065,B387681,Receipt,1506,PO00064,On Time"
"REC000321,2025-01-07,H004,MED069,B553105,Receipt,1340,PO00064,On Time"
"REC000322,2025-01-07,H004,MED086,B191658,Receipt,1327,PO00064,On Time"
"REC000323,2025-01-07,H004,MED088,B394054,Receipt,1235,PO00064,On Time"
"REC000324,2025-01-04,H004,MED010,B257661,Receipt,734,PO00065,On Time"
"REC000325,2025-01-04,H004,MED066,B266703,Receipt,1252,PO00065,On Time"
"REC000326,2025-01-04,H004,MED087,B642015,Receipt,728,PO00065,On Time"
"REC000327,2025-01-26,H004,MED011,B106154,Receipt,1215,PO00066,Delayed"
"REC000328,2025-01-26,H004,MED016,B836421,Receipt,715,PO00066,Delayed"
"REC000329,2025-01-26,H004,MED042,B417348,Receipt,1275,PO00066,Delayed"
"REC000330,2025-01-26,H004,MED094,B599499,Receipt,1024,PO00066,Delayed"
"REC000331,2025-01-26,H004,MED098,B450877,Receipt,689,PO00066,Delayed"
"REC000332,2025-02-11,H004,MED012,B264053,Receipt,1408,PO00067,On Time"
"REC000333,2025-02-11,H004,MED023,B241398,Receipt,1456,PO00067,On Time"
