"ConsumptionID,Date,HospitalID,ProductID,QuantityConsumed"
"CON000077,2025-01-01,H001,MED077,5"
"CON000078,2025-01-01,H001,MED078,2"
"CON000079,2025-01-01,H001,MED079,2"
"CON000080,2025-01-01,H001,MED080,6"
"CON000081,2025-01-01,H001,MED081,13"
"CON000082,2025-01-01,H001,MED082,15"
"CON000083,2025-01-01,H001,MED083,7"
"CON000084,2025-01-01,H001,MED084,8"
"CON000085,2025-01-01,H001,MED085,13"
"CON000086,2025-01-01,H001,MED086,14"
"CON000087,2025-01-01,H001,MED087,8"
"CON000088,2025-01-01,H001,MED088,15"
"CON000089,2025-01-01,H001,MED089,10"
"CON000090,2025-01-01,H001,MED090,15"
"CON000091,2025-01-01,H001,MED091,3"
"CON000092,2025-01-01,H001,MED092,4"
"CON000093,2025-01-01,H001,MED093,3"
"CON000094,2025-01-01,H001,MED094,2"
"CON000095,2025-01-01,H001,MED095,6"
"CON000096,2025-01-01,H001,MED096,6"
"CON000097,2025-01-01,H001,MED097,5"
"CON000098,2025-01-01,H001,MED098,6"
"CON000099,2025-01-01,H001,MED099,3"
"CON000100,2025-01-01,H001,MED100,6"
"CON000101,2025-01-01,H002,MED001,20"
"CON000102,2025-01-01,H002,MED002,27"
"CON000103,2025-01-01,H002,MED003,20"
"CON000104,2025-01-01,H002,MED004,26"
"CON000105,2025-01-01,H002,MED005,34"
"CON000106,2025-01-01,H002,MED006,23"
"CON000107,2025-01-01,H002,MED007,23"
"CON000108,2025-01-01,H002,MED008,22"
"CON000109,2025-01-01,H002,MED009,24"
"CON000110,2025-01-01,H002,MED010,24"
"CON000111,2025-01-01,H002,MED011,20"
"CON000112,2025-01-01,H002,MED012,16"
"CON000113,2025-01-01,H002,MED013,19"
"CON000114,2025-01-01,H002,MED014,16"
"CON000115,2025-01-01,H002,MED015,25"
"CON000116,2025-01-01,H002,MED016,25"
"CON000117,2025-01-01,H002,MED017,17"
"CON000118,2025-01-01,H002,MED018,29"
"CON000119,2025-01-01,H002,MED019,15"
"CON000120,2025-01-01,H002,MED020,30"
"CON000121,2025-01-01,H002,MED021,2"
"CON000122,2025-01-01,H002,MED022,5"
"CON000123,2025-01-01,H002,MED023,1"
"CON000124,2025-01-01,H002,MED024,28"
"CON000125,2025-01-01,H002,MED025,5"
"CON000126,2025-01-01,H002,MED026,14"
"CON000127,2025-01-01,H002,MED027,9"
"CON000128,2025-01-01,H002,MED028,12"
"CON000129,2025-01-01,H002,MED029,6"
"CON000130,2025-01-01,H002,MED030,12"
"CON000131,2025-01-01,H002,MED031,7"
"CON000132,2025-01-01,H002,MED032,13"
"CON000133,2025-01-01,H002,MED033,7"
"CON000134,2025-01-01,H002,MED034,9"
"CON000135,2025-01-01,H002,MED035,15"
"CON000136,2025-01-01,H002,MED036,13"
"CON000137,2025-01-01,H002,MED037,10"
"CON000138,2025-01-01,H002,MED038,8"
"CON000139,2025-01-01,H002,MED039,11"
"CON000140,2025-01-01,H002,MED040,11"
"CON000141,2025-01-01,H002,MED041,13"
"CON000142,2025-01-01,H002,MED042,13"
"CON000143,2025-01-01,H002,MED043,13"
"CON000144,2025-01-01,H002,MED044,8"
"CON000145,2025-01-01,H002,MED045,10"
"CON000146,2025-01-01,H002,MED046,8"
"CON000147,2025-01-01,H002,MED047,6"
"CON000148,2025-01-01,H002,MED048,7"
"CON000149,2025-01-01,H002,MED049,14"
"CON000150,2025-01-01,H002,MED050,8"
"CON000151,2025-01-01,H002,MED051,15"
"CON000152,2025-01-01,H002,MED052,9"
"CON000153,2025-01-01,H002,MED053,14"
"CON000154,2025-01-01,H002,MED054,13"
"CON000155,2025-01-01,H002,MED055,11"
"CON000156,2025-01-01,H002,MED056,9"
"CON000157,2025-01-01,H002,MED057,13"
"CON000158,2025-01-01,H002,MED058,11"
"CON000159,2025-01-01,H002,MED059,10"
"CON000160,2025-01-01,H002,MED060,5"
"CON000161,2025-01-01,H002,MED061,30"
"CON000162,2025-01-01,H002,MED062,16"
"CON000163,2025-01-01,H002,MED063,18"
"CON000164,2025-01-01,H002,MED064,17"
"CON000165,2025-01-01,H002,MED065,23"
"CON000166,2025-01-01,H002,MED066,22"
"CON000167,2025-01-01,H002,MED067,33"
"CON000168,2025-01-01,H002,MED068,23"
"CON000169,2025-01-01,H002,MED069,25"
"CON000170,2025-01-01,H002,MED070,22"
"CON000171,2025-01-01,H002,MED071,1"
"CON000172,2025-01-01,H002,MED072,3"
"CON000173,2025-01-01,H002,MED073,2"
"CON000174,2025-01-01,H002,MED074,5"
"CON000175,2025-01-01,H002,MED075,3"
"CON000176,2025-01-01,H002,MED076,1"
"CON000177,2025-01-01,H002,MED077,5"
"CON000178,2025-01-01,H002,MED078,6"
"CON000179,2025-01-01,H002,MED079,5"
"CON000180,2025-01-01,H002,MED080,2"
"CON000181,2025-01-01,H002,MED081,13"
"CON000182,2025-01-01,H002,MED082,12"
"CON000183,2025-01-01,H002,MED083,11"
"CON000184,2025-01-01,H002,MED084,11"
"CON000185,2025-01-01,H002,MED085,9"
"CON000186,2025-01-01,H002,MED086,7"
"CON000187,2025-01-01,H002,MED087,10"
"CON000188,2025-01-01,H002,MED088,15"
"CON000189,2025-01-01,H002,MED089,8"
"CON000190,2025-01-01,H002,MED090,6"
"CON000191,2025-01-01,H002,MED091,4"
"CON000192,2025-01-01,H002,MED092,6"
"CON000193,2025-01-01,H002,MED093,3"
"CON000194,2025-01-01,H002,MED094,4"
"CON000195,2025-01-01,H002,MED095,1"
"CON000196,2025-01-01,H002,MED096,2"
"CON000197,2025-01-01,H002,MED097,4"
"CON000198,2025-01-01,H002,MED098,5"
"CON000199,2025-01-01,H002,MED099,1"
"CON000200,2025-01-01,H002,MED100,5"
"CON000201,2025-01-01,H003,MED001,17"
"CON000202,2025-01-01,H003,MED002,25"
"CON000203,2025-01-01,H003,MED003,34"
"CON000204,2025-01-01,H003,MED004,16"
"CON000205,2025-01-01,H003,MED005,23"
"CON000206,2025-01-01,H003,MED006,16"
"CON000207,2025-01-01,H003,MED007,23"
"CON000208,2025-01-01,H003,MED008,34"
"CON000209,2025-01-01,H003,MED009,19"
"CON000210,2025-01-01,H003,MED010,29"
"CON000211,2025-01-01,H003,MED011,23"
"CON000212,2025-01-01,H003,MED012,31"
"CON000213,2025-01-01,H003,MED013,34"
"CON000214,2025-01-01,H003,MED014,27"
"CON000215,2025-01-01,H003,MED015,21"
"CON000216,2025-01-01,H003,MED016,20"
"CON000217,2025-01-01,H003,MED017,17"
"CON000218,2025-01-01,H003,MED018,19"
"CON000219,2025-01-01,H003,MED019,33"
"CON000220,2025-01-01,H003,MED020,25"
"CON000221,2025-01-01,H003,MED021,2"
"CON000222,2025-01-01,H003,MED022,1"
"CON000223,2025-01-01,H003,MED023,3"
"CON000224,2025-01-01,H003,MED024,33"
"CON000225,2025-01-01,H003,MED025,3"
"CON000226,2025-01-01,H003,MED026,5"
"CON000227,2025-01-01,H003,MED027,5"
"CON000228,2025-01-01,H003,MED028,7"
"CON000229,2025-01-01,H003,MED029,11"
"CON000230,2025-01-01,H003,MED030,5"
"CON000231,2025-01-01,H003,MED031,13"
"CON000232,2025-01-01,H003,MED032,5"
"CON000233,2025-01-01,H003,MED033,10"
"CON000234,2025-01-01,H003,MED034,5"
"CON000235,2025-01-01,H003,MED035,12"
"CON000236,2025-01-01,H003,MED036,9"
"CON000237,2025-01-01,H003,MED037,6"
"CON000238,2025-01-01,H003,MED038,15"
"CON000239,2025-01-01,H003,MED039,6"
"CON000240,2025-01-01,H003,MED040,14"
"CON000241,2025-01-01,H003,MED041,9"
"CON000242,2025-01-01,H003,MED042,6"
"CON000243,2025-01-01,H003,MED043,7"
"CON000244,2025-01-01,H003,MED044,14"
"CON000245,2025-01-01,H003,MED045,6"
"CON000246,2025-01-01,H003,MED046,6"
"CON000247,2025-01-01,H003,MED047,10"
"CON000248,2025-01-01,H003,MED048,13"
"CON000249,2025-01-01,H003,MED049,13"
"CON000250,2025-01-01,H003,MED050,8"
"CON000251,2025-01-01,H003,MED051,15"
"CON000252,2025-01-01,H003,MED052,11"
"CON000253,2025-01-01,H003,MED053,13"
"CON000254,2025-01-01,H003,MED054,6"
"CON000255,2025-01-01,H003,MED055,11"
"CON000256,2025-01-01,H003,MED056,12"
"CON000257,2025-01-01,H003,MED057,10"
"CON000258,2025-01-01,H003,MED058,11"
"CON000259,2025-01-01,H003,MED059,13"
"CON000260,2025-01-01,H003,MED060,14"
"CON000261,2025-01-01,H003,MED061,35"
"CON000262,2025-01-01,H003,MED062,17"
"CON000263,2025-01-01,H003,MED063,24"
"CON000264,2025-01-01,H003,MED064,22"
"CON000265,2025-01-01,H003,MED065,33"
"CON000266,2025-01-01,H003,MED066,18"
"CON000267,2025-01-01,H003,MED067,25"
"CON000268,2025-01-01,H003,MED068,33"
"CON000269,2025-01-01,H003,MED069,16"
"CON000270,2025-01-01,H003,MED070,30"
"CON000271,2025-01-01,H003,MED071,6"
"CON000272,2025-01-01,H003,MED072,6"
"CON000273,2025-01-01,H003,MED073,6"
"CON000274,2025-01-01,H003,MED074,1"
"CON000275,2025-01-01,H003,MED075,4"
"CON000276,2025-01-01,H003,MED076,4"
"CON000277,2025-01-01,H003,MED077,6"
"CON000278,2025-01-01,H003,MED078,4"
"CON000279,2025-01-01,H003,MED079,5"
"CON000280,2025-01-01,H003,MED080,2"
"CON000281,2025-01-01,H003,MED081,13"
"CON000282,2025-01-01,H003,MED082,11"
"CON000283,2025-01-01,H003,MED083,14"
"CON000284,2025-01-01,H003,MED084,5"
"CON000285,2025-01-01,H003,MED085,9"
"CON000286,2025-01-01,H003,MED086,8"
"CON000287,2025-01-01,H003,MED087,7"
"CON000288,2025-01-01,H003,MED088,11"
"CON000289,2025-01-01,H003,MED089,10"
"CON000290,2025-01-01,H003,MED090,5"
"CON000291,2025-01-01,H003,MED091,5"
"CON000292,2025-01-01,H003,MED092,3"
"CON000293,2025-01-01,H003,MED093,3"
"CON000294,2025-01-01,H003,MED094,5"
"CON000295,2025-01-01,H003,MED095,2"
"CON000296,2025-01-01,H003,MED096,1"
"CON000297,2025-01-01,H003,MED097,5"
"CON000298,2025-01-01,H003,MED098,1"
"CON000299,2025-01-01,H003,MED099,6"
"CON000300,2025-01-01,H003,MED100,6"
"CON000301,2025-01-01,H004,MED001,27"
"CON000302,2025-01-01,H004,MED002,33"
"CON000303,2025-01-01,H004,MED003,22"
"CON000304,2025-01-01,H004,MED004,15"
"CON000305,2025-01-01,H004,MED005,20"
"CON000306,2025-01-01,H004,MED006,35"
"CON000307,2025-01-01,H004,MED007,22"
"CON000308,2025-01-01,H004,MED008,17"
"CON000309,2025-01-01,H004,MED009,23"
"CON000310,2025-01-01,H004,MED010,25"
"CON000311,2025-01-01,H004,MED011,33"
"CON000312,2025-01-01,H004,MED012,21"
"CON000313,2025-01-01,H004,MED013,18"
"CON000314,2025-01-01,H004,MED014,19"
"CON000315,2025-01-01,H004,MED015,28"
"CON000316,2025-01-01,H004,MED016,34"
"CON000317,2025-01-01,H004,MED017,22"
"CON000318,2025-01-01,H004,MED018,23"
"CON000319,2025-01-01,H004,MED019,21"
"CON000320,2025-01-01,H004,MED020,27"
"CON000321,2025-01-01,H004,MED021,2"
"CON000322,2025-01-01,H004,MED022,6"
"CON000323,2025-01-01,H004,MED023,2"
"CON000324,2025-01-01,H004,MED024,26"
"CON000325,2025-01-01,H004,MED025,5"
"CON000326,2025-01-01,H004,MED026,5"
"CON000327,2025-01-01,H004,MED027,5"
"CON000328,2025-01-01,H004,MED028,14"
"CON000329,2025-01-01,H004,MED029,9"
"CON000330,2025-01-01,H004,MED030,7"
"CON000331,2025-01-01,H004,MED031,15"
"CON000332,2025-01-01,H004,MED032,12"
"CON000333,2025-01-01,H004,MED033,5"
"CON000334,2025-01-01,H004,MED034,9"
"CON000335,2025-01-01,H004,MED035,6"
"CON000336,2025-01-01,H004,MED036,7"
"CON000337,2025-01-01,H004,MED037,10"
"CON000338,2025-01-01,H004,MED038,12"
"CON000339,2025-01-01,H004,MED039,8"
"CON000340,2025-01-01,H004,MED040,8"
"CON000341,2025-01-01,H004,MED041,14"
"CON000342,2025-01-01,H004,MED042,9"
"CON000343,2025-01-01,H004,MED043,15"
"CON000344,2025-01-01,H004,MED044,9"
"CON000345,2025-01-01,H004,MED045,8"
"CON000346,2025-01-01,H004,MED046,10"
"CON000347,2025-01-01,H004,MED047,7"
"CON000348,2025-01-01,H004,MED048,7"
"CON000349,2025-01-01,H004,MED049,10"
"CON000350,2025-01-01,H004,MED050,11"
"CON000351,2025-01-01,H004,MED051,8"
"CON000352,2025-01-01,H004,MED052,11"
"CON000353,2025-01-01,H004,MED053,13"
"CON000354,2025-01-01,H004,MED054,14"
"CON000355,2025-01-01,H004,MED055,5"
"CON000356,2025-01-01,H004,MED056,5"
"CON000357,2025-01-01,H004,MED057,11"
"CON000358,2025-01-01,H004,MED058,10"
"CON000359,2025-01-01,H004,MED059,8"
"CON000360,2025-01-01,H004,MED060,8"
"CON000361,2025-01-01,H004,MED061,16"
"CON000362,2025-01-01,H004,MED062,20"
"CON000363,2025-01-01,H004,MED063,19"
"CON000364,2025-01-01,H004,MED064,34"
"CON000365,2025-01-01,H004,MED065,26"
"CON000366,2025-01-01,H004,MED066,22"
"CON000367,2025-01-01,H004,MED067,20"
"CON000368,2025-01-01,H004,MED068,22"
"CON000369,2025-01-01,H004,MED069,19"
"CON000370,2025-01-01,H004,MED070,19"
"CON000371,2025-01-01,H004,MED071,2"
"CON000372,2025-01-01,H004,MED072,1"
"CON000373,2025-01-01,H004,MED073,2"
"CON000374,2025-01-01,H004,MED074,2"
"CON000375,2025-01-01,H004,MED075,1"
"CON000376,2025-01-01,H004,MED076,1"
"CON000377,2025-01-01,H004,MED077,4"
"CON000378,2025-01-01,H004,MED078,6"
"CON000379,2025-01-01,H004,MED079,3"
"CON000380,2025-01-01,H004,MED080,3"
"CON000381,2025-01-01,H004,MED081,9"
"CON000382,2025-01-01,H004,MED082,10"
"CON000383,2025-01-01,H004,MED083,8"
"CON000384,2025-01-01,H004,MED084,14"
"CON000385,2025-01-01,H004,MED085,10"
"CON000386,2025-01-01,H004,MED086,13"
"CON000387,2025-01-01,H004,MED087,13"
"CON000388,2025-01-01,H004,MED088,9"
"CON000389,2025-01-01,H004,MED089,6"
"CON000390,2025-01-01,H004,MED090,10"
"CON000391,2025-01-01,H004,MED091,5"
"CON000392,2025-01-01,H004,MED092,4"
"CON000393,2025-01-01,H004,MED093,6"
"CON000394,2025-01-01,H004,MED094,6"
"CON000395,2025-01-01,H004,MED095,5"
"CON000396,2025-01-01,H004,MED096,2"
"CON000397,2025-01-01,H004,MED097,3"
"CON000398,2025-01-01,H004,MED098,2"
"CON000399,2025-01-01,H004,MED099,1"
"CON000400,2025-01-01,H004,MED100,4"
"CON000401,2025-01-01,H005,MED001,31"
"CON000402,2025-01-01,H005,MED002,26"
"CON000403,2025-01-01,H005,MED003,20"
"CON000404,2025-01-01,H005,MED004,16"
"CON000405,2025-01-01,H005,MED005,35"
"CON000406,2025-01-01,H005,MED006,35"
"CON000407,2025-01-01,H005,MED007,28"
"CON000408,2025-01-01,H005,MED008,17"
"CON000409,2025-01-01,H005,MED009,33"
"CON000410,2025-01-01,H005,MED010,24"
"CON000411,2025-01-01,H005,MED011,32"
"CON000412,2025-01-01,H005,MED012,33"
"CON000413,2025-01-01,H005,MED013,26"
"CON000414,2025-01-01,H005,MED014,22"
"CON000415,2025-01-01,H005,MED015,22"
"CON000416,2025-01-01,H005,MED016,32"
"CON000417,2025-01-01,H005,MED017,22"
"CON000418,2025-01-01,H005,MED018,24"
"CON000419,2025-01-01,H005,MED019,28"
"CON000420,2025-01-01,H005,MED020,29"
"CON000421,2025-01-01,H005,MED021,6"
"CON000422,2025-01-01,H005,MED022,2"
"CON000423,2025-01-01,H005,MED023,4"
"CON000424,2025-01-01,H005,MED024,24"
"CON000425,2025-01-01,H005,MED025,5"
"CON000426,2025-01-01,H005,MED026,14"
"CON000427,2025-01-01,H005,MED027,14"
"CON000428,2025-01-01,H005,MED028,13"
"CON000429,2025-01-01,H005,MED029,15"
"CON000430,2025-01-01,H005,MED030,10"
"CON000431,2025-01-01,H005,MED031,15"
"CON000432,2025-01-01,H005,MED032,13"
"CON000433,2025-01-01,H005,MED033,8"
"CON000434,2025-01-01,H005,MED034,6"
"CON000435,2025-01-01,H005,MED035,7"
"CON000436,2025-01-01,H005,MED036,7"
"CON000437,2025-01-01,H005,MED037,7"
"CON000438,2025-01-01,H005,MED038,7"
"CON000439,2025-01-01,H005,MED039,8"
"CON000440,2025-01-01,H005,MED040,13"
"CON000441,2025-01-01,H005,MED041,13"
"CON000442,2025-01-01,H005,MED042,12"
"CON000443,2025-01-01,H005,MED043,9"
"CON000444,2025-01-01,H005,MED044,5"
"CON000445,2025-01-01,H005,MED045,9"
"CON000446,2025-01-01,H005,MED046,8"
"CON000447,2025-01-01,H005,MED047,7"
"CON000448,2025-01-01,H005,MED048,5"
"CON000449,2025-01-01,H005,MED049,7"
"CON000450,2025-01-01,H005,MED050,15"
"CON000451,2025-01-01,H005,MED051,15"
"CON000452,2025-01-01,H005,MED052,10"
"CON000453,2025-01-01,H005,MED053,7"
"CON000454,2025-01-01,H005,MED054,9"
"CON000455,2025-01-01,H005,MED055,8"
"CON000456,2025-01-01,H005,MED056,9"
"CON000457,2025-01-01,H005,MED057,8"
"CON000458,2025-01-01,H005,MED058,7"
"CON000459,2025-01-01,H005,MED059,11"
"CON000460,2025-01-01,H005,MED060,14"
"CON000461,2025-01-01,H005,MED061,30"
"CON000462,2025-01-01,H005,MED062,15"
"CON000463,2025-01-01,H005,MED063,31"
"CON000464,2025-01-01,H005,MED064,28"
"CON000465,2025-01-01,H005,MED065,34"
"CON000466,2025-01-01,H005,MED066,33"
"CON000467,2025-01-01,H005,MED067,32"
"CON000468,2025-01-01,H005,MED068,26"
"CON000469,2025-01-01,H005,MED069,34"
"CON000470,2025-01-01,H005,MED070,20"
"CON000471,2025-01-01,H005,MED071,4"
"CON000472,2025-01-01,H005,MED072,5"
"CON000473,2025-01-01,H005,MED073,5"
"CON000474,2025-01-01,H005,MED074,6"
"CON000475,2025-01-01,H005,MED075,3"
"CON000476,2025-01-01,H005,MED076,5"
"CON000477,2025-01-01,H005,MED077,3"
"CON000478,2025-01-01,H005,MED078,2"
"CON000479,2025-01-01,H005,MED079,4"
"CON000480,2025-01-01,H005,MED080,6"
"CON000481,2025-01-01,H005,MED081,6"
"CON000482,2025-01-01,H005,MED082,11"
"CON000483,2025-01-01,H005,MED083,9"
"CON000484,2025-01-01,H005,MED084,10"
"CON000485,2025-01-01,H005,MED085,11"
"CON000486,2025-01-01,H005,MED086,10"
"CON000487,2025-01-01,H005,MED087,5"
"CON000488,2025-01-01,H005,MED088,10"
"CON000489,2025-01-01,H005,MED089,13"
"CON000490,2025-01-01,H005,MED090,14"
"CON000491,2025-01-01,H005,MED091,1"
"CON000492,2025-01-01,H005,MED092,4"
"CON000493,2025-01-01,H005,MED093,2"
"CON000494,2025-01-01,H005,MED094,2"
"CON000495,2025-01-01,H005,MED095,5"
"CON000496,2025-01-01,H005,MED096,2"
"CON000497,2025-01-01,H005,MED097,6"
"CON000498,2025-01-01,H005,MED098,4"
"CON000499,2025-01-01,H005,MED099,6"
"CON000500,2025-01-01,H005,MED100,2"
"CON000501,2025-01-01,H006,MED001,30"
"CON000502,2025-01-01,H006,MED002,23"
"CON000503,2025-01-01,H006,MED003,32"
"CON000504,2025-01-01,H006,MED004,33"
"CON000505,2025-01-01,H006,MED005,22"
"CON000506,2025-01-01,H006,MED006,23"
"CON000507,2025-01-01,H006,MED007,31"
"CON000508,2025-01-01,H006,MED008,32"
"CON000509,2025-01-01,H006,MED009,23"
"CON000510,2025-01-01,H006,MED010,30"
"CON000511,2025-01-01,H006,MED011,24"
"CON000512,2025-01-01,H006,MED012,26"
"CON000513,2025-01-01,H006,MED013,26"
"CON000514,2025-01-01,H006,MED014,21"
"CON000515,2025-01-01,H006,MED015,21"
"CON000516,2025-01-01,H006,MED016,18"
"CON000517,2025-01-01,H006,MED017,30"
"CON000518,2025-01-01,H006,MED018,18"
"CON000519,2025-01-01,H006,MED019,19"
"CON000520,2025-01-01,H006,MED020,25"
"CON000521,2025-01-01,H006,MED021,6"
"CON000522,2025-01-01,H006,MED022,1"
"CON000523,2025-01-01,H006,MED023,2"
"CON000524,2025-01-01,H006,MED024,33"
"CON000525,2025-01-01,H006,MED025,5"
"CON000526,2025-01-01,H006,MED026,15"
"CON000527,2025-01-01,H006,MED027,9"
"CON000528,2025-01-01,H006,MED028,7"
"CON000529,2025-01-01,H006,MED029,10"
"CON000530,2025-01-01,H006,MED030,15"
"CON000531,2025-01-01,H006,MED031,12"
"CON000532,2025-01-01,H006,MED032,7"
"CON000533,2025-01-01,H006,MED033,6"
"CON000534,2025-01-01,H006,MED034,5"
"CON000535,2025-01-01,H006,MED035,5"
"CON000536,2025-01-01,H006,MED036,15"
"CON000537,2025-01-01,H006,MED037,6"
"CON000538,2025-01-01,H006,MED038,14"
"CON000539,2025-01-01,H006,MED039,15"
"CON000540,2025-01-01,H006,MED040,5"
"CON000541,2025-01-01,H006,MED041,13"
"CON000542,2025-01-01,H006,MED042,15"
"CON000543,2025-01-01,H006,MED043,7"
"CON000544,2025-01-01,H006,MED044,12"
"CON000545,2025-01-01,H006,MED045,15"
"CON000546,2025-01-01,H006,MED046,9"
"CON000547,2025-01-01,H006,MED047,13"
"CON000548,2025-01-01,H006,MED048,7"
"CON000549,2025-01-01,H006,MED049,9"
"CON000550,2025-01-01,H006,MED050,5"
"CON000551,2025-01-01,H006,MED051,12"
"CON000552,2025-01-01,H006,MED052,7"
"CON000553,2025-01-01,H006,MED053,11"
"CON000554,2025-01-01,H006,MED054,13"
"CON000555,2025-01-01,H006,MED055,10"
"CON000556,2025-01-01,H006,MED056,7"
"CON000557,2025-01-01,H006,MED057,15"
"CON000558,2025-01-01,H006,MED058,8"
"CON000559,2025-01-01,H006,MED059,13"
"CON000560,2025-01-01,H006,MED060,13"
"CON000561,2025-01-01,H006,MED061,15"
"CON000562,2025-01-01,H006,MED062,34"
"CON000563,2025-01-01,H006,MED063,15"
"CON000564,2025-01-01,H006,MED064,18"
"CON000565,2025-01-01,H006,MED065,17"
"CON000566,2025-01-01,H006,MED066,30"
"CON000567,2025-01-01,H006,MED067,22"
"CON000568,2025-01-01,H006,MED068,27"
"CON000569,2025-01-01,H006,MED069,25"
"CON000570,2025-01-01,H006,MED070,35"
"CON000571,2025-01-01,H006,MED071,1"
"CON000572,2025-01-01,H006,MED072,4"
"CON000573,2025-01-01,H006,MED073,5"
"CON000574,2025-01-01,H006,MED074,1"
"CON000575,2025-01-01,H006,MED075,3"
"CON000576,2025-01-01,H006,MED076,5"
"CON000577,2025-01-01,H006,MED077,1"
"CON000578,2025-01-01,H006,MED078,5"
"CON000579,2025-01-01,H006,MED079,2"
"CON000580,2025-01-01,H006,MED080,1"
"CON000581,2025-01-01,H006,MED081,12"
"CON000582,2025-01-01,H006,MED082,9"
"CON000583,2025-01-01,H006,MED083,10"
"CON000584,2025-01-01,H006,MED084,12"
"CON000585,2025-01-01,H006,MED085,11"
"CON000586,2025-01-01,H006,MED086,12"
"CON000587,2025-01-01,H006,MED087,14"
"CON000588,2025-01-01,H006,MED088,15"
"CON000589,2025-01-01,H006,MED089,15"
"CON000590,2025-01-01,H006,MED090,8"
"CON000591,2025-01-01,H006,MED091,5"
"CON000592,2025-01-01,H006,MED092,4"
"CON000593,2025-01-01,H006,MED093,5"
"CON000594,2025-01-01,H006,MED094,4"
"CON000595,2025-01-01,H006,MED095,2"
"CON000596,2025-01-01,H006,MED096,6"
"CON000597,2025-01-01,H006,MED097,1"
"CON000598,2025-01-01,H006,MED098,2"
"CON000599,2025-01-01,H006,MED099,5"
"CON000600,2025-01-01,H006,MED100,1"
"CON000601,2025-01-01,H007,MED001,21"
"CON000602,2025-01-01,H007,MED002,32"
"CON000603,2025-01-01,H007,MED003,35"
"CON000604,2025-01-01,H007,MED004,22"
"CON000605,2025-01-01,H007,MED005,24"
