"Date,Year,Quarter,Month,MonthName,Week,Weekday,Season"
"2025-05-20,2025,2,5,May,21,Tuesday,Spring"
"2025-05-21,2025,2,5,May,21,Wednesday,Spring"
"2025-05-22,2025,2,5,May,21,Thursday,Spring"
"2025-05-23,2025,2,5,May,21,Friday,Spring"
"2025-05-24,2025,2,5,May,21,Saturday,Spring"
"2025-05-25,2025,2,5,May,21,Sunday,Spring"
"2025-05-26,2025,2,5,May,22,Monday,Spring"
"2025-05-27,2025,2,5,May,22,Tuesday,Spring"
"2025-05-28,2025,2,5,May,22,Wednesday,Spring"
"2025-05-29,2025,2,5,May,22,Thursday,Spring"
"2025-05-30,2025,2,5,May,22,Friday,Spring"
"2025-05-31,2025,2,5,May,22,Saturday,Spring"
"2025-06-01,2025,2,6,June,22,Sunday,Summer"
"2025-06-02,2025,2,6,June,23,Monday,Summer"
"2025-06-03,2025,2,6,June,23,Tuesday,Summer"
"2025-06-04,2025,2,6,June,23,Wednesday,Summer"
"2025-06-05,2025,2,6,June,23,Thursday,Summer"
"2025-06-06,2025,2,6,June,23,Friday,Summer"
"2025-06-07,2025,2,6,June,23,Saturday,Summer"
"2025-06-08,2025,2,6,June,23,Sunday,Summer"
"2025-06-09,2025,2,6,June,24,Monday,Summer"
"2025-06-10,2025,2,6,June,24,Tuesday,Summer"
"2025-06-11,2025,2,6,June,24,Wednesday,Summer"
"2025-06-12,2025,2,6,June,24,Thursday,Summer"
"2025-06-13,2025,2,6,June,24,Friday,Summer"
"2025-06-14,2025,2,6,June,24,Saturday,Summer"
"2025-06-15,2025,2,6,June,24,Sunday,Summer"
"2025-06-16,2025,2,6,June,25,Monday,Summer"
"2025-06-17,2025,2,6,June,25,Tuesday,Summer"
"2025-06-18,2025,2,6,June,25,Wednesday,Summer"
"2025-06-19,2025,2,6,June,25,Thursday,Summer"
"2025-06-20,2025,2,6,June,25,Friday,Summer"
"2025-06-21,2025,2,6,June,25,Saturday,Summer"
"2025-06-22,2025,2,6,June,25,Sunday,Summer"
"2025-06-23,2025,2,6,June,26,Monday,Summer"
"2025-06-24,2025,2,6,June,26,Tuesday,Summer"
"2025-06-25,2025,2,6,June,26,Wednesday,Summer"
"2025-06-26,2025,2,6,June,26,Thursday,Summer"
"2025-06-27,2025,2,6,June,26,Friday,Summer"
"2025-06-28,2025,2,6,June,26,Saturday,Summer"
"2025-06-29,2025,2,6,June,26,Sunday,Summer"
"2025-06-30,2025,2,6,June,27,Monday,Summer"
"2025-07-01,2025,3,7,July,27,Tuesday,Summer"
"2025-07-02,2025,3,7,July,27,Wednesday,Summer"
"2025-07-03,2025,3,7,July,27,Thursday,Summer"
"2025-07-04,2025,3,7,July,27,Friday,Summer"
"2025-07-05,2025,3,7,July,27,Saturday,Summer"
"2025-07-06,2025,3,7,July,27,Sunday,Summer"
"2025-07-07,2025,3,7,July,28,Monday,Summer"
"2025-07-08,2025,3,7,July,28,Tuesday,Summer"
"2025-07-09,2025,3,7,July,28,Wednesday,Summer"
"2025-07-10,2025,3,7,July,28,Thursday,Summer"
"2025-07-11,2025,3,7,July,28,Friday,Summer"
"2025-07-12,2025,3,7,July,28,Saturday,Summer"
"2025-07-13,2025,3,7,July,28,Sunday,Summer"
"2025-07-14,2025,3,7,July,29,Monday,Summer"
"2025-07-15,2025,3,7,July,29,Tuesday,Summer"
"2025-07-16,2025,3,7,July,29,Wednesday,Summer"
"2025-07-17,2025,3,7,July,29,Thursday,Summer"
"2025-07-18,2025,3,7,July,29,Friday,Summer"
"2025-07-19,2025,3,7,July,29,Saturday,Summer"
"2025-07-20,2025,3,7,July,29,Sunday,Summer"
"2025-07-21,2025,3,7,July,30,Monday,Summer"
"2025-07-22,2025,3,7,July,30,Tuesday,Summer"
"2025-07-23,2025,3,7,July,30,Wednesday,Summer"
"2025-07-24,2025,3,7,July,30,Thursday,Summer"
"2025-07-25,2025,3,7,July,30,Friday,Summer"
"2025-07-26,2025,3,7,July,30,Saturday,Summer"
"2025-07-27,2025,3,7,July,30,Sunday,Summer"
"2025-07-28,2025,3,7,July,31,Monday,Summer"
"2025-07-29,2025,3,7,July,31,Tuesday,Summer"
"2025-07-30,2025,3,7,July,31,Wednesday,Summer"
"2025-07-31,2025,3,7,July,31,Thursday,Summer"
"2025-08-01,2025,3,8,August,31,Friday,Summer"
"2025-08-02,2025,3,8,August,31,Saturday,Summer"
"2025-08-03,2025,3,8,August,31,Sunday,Summer"
"2025-08-04,2025,3,8,August,32,Monday,Summer"
"2025-08-05,2025,3,8,August,32,Tuesday,Summer"
"2025-08-06,2025,3,8,August,32,Wednesday,Summer"
"2025-08-07,2025,3,8,August,32,Thursday,Summer"
"2025-08-08,2025,3,8,August,32,Friday,Summer"
"2025-08-09,2025,3,8,August,32,Saturday,Summer"
"2025-08-10,2025,3,8,August,32,Sunday,Summer"
"2025-08-11,2025,3,8,August,33,Monday,Summer"
"2025-08-12,2025,3,8,August,33,Tuesday,Summer"
"2025-08-13,2025,3,8,August,33,Wednesday,Summer"
"2025-08-14,2025,3,8,August,33,Thursday,Summer"
"2025-08-15,2025,3,8,August,33,Friday,Summer"
"2025-08-16,2025,3,8,August,33,Saturday,Summer"
"2025-08-17,2025,3,8,August,33,Sunday,Summer"
"2025-08-18,2025,3,8,August,34,Monday,Summer"
"2025-08-19,2025,3,8,August,34,Tuesday,Summer"
"2025-08-20,2025,3,8,August,34,Wednesday,Summer"
"2025-08-21,2025,3,8,August,34,Thursday,Summer"
"2025-08-22,2025,3,8,August,34,Friday,Summer"
"2025-08-23,2025,3,8,August,34,Saturday,Summer"
"2025-08-24,2025,3,8,August,34,Sunday,Summer"
"2025-08-25,2025,3,8,August,35,Monday,Summer"
"2025-08-26,2025,3,8,August,35,Tuesday,Summer"
"2025-08-27,2025,3,8,August,35,Wednesday,Summer"
"2025-08-28,2025,3,8,August,35,Thursday,Summer"
"2025-08-29,2025,3,8,August,35,Friday,Summer"
"2025-08-30,2025,3,8,August,35,Saturday,Summer"
"2025-08-31,2025,3,8,August,35,Sunday,Summer"
"2025-09-01,2025,3,9,September,36,Monday,Autumn"
"2025-09-02,2025,3,9,September,36,Tuesday,Autumn"
"2025-09-03,2025,3,9,September,36,Wednesday,Autumn"
"2025-09-04,2025,3,9,September,36,Thursday,Autumn"
"2025-09-05,2025,3,9,September,36,Friday,Autumn"
"2025-09-06,2025,3,9,September,36,Saturday,Autumn"
"2025-09-07,2025,3,9,September,36,Sunday,Autumn"
"2025-09-08,2025,3,9,September,37,Monday,Autumn"
"2025-09-09,2025,3,9,September,37,Tuesday,Autumn"
"2025-09-10,2025,3,9,September,37,Wednesday,Autumn"
"2025-09-11,2025,3,9,September,37,Thursday,Autumn"
"2025-09-12,2025,3,9,September,37,Friday,Autumn"
"2025-09-13,2025,3,9,September,37,Saturday,Autumn"
"2025-09-14,2025,3,9,September,37,Sunday,Autumn"
"2025-09-15,2025,3,9,September,38,Monday,Autumn"
"2025-09-16,2025,3,9,September,38,Tuesday,Autumn"
"2025-09-17,2025,3,9,September,38,Wednesday,Autumn"
"2025-09-18,2025,3,9,September,38,Thursday,Autumn"
"2025-09-19,2025,3,9,September,38,Friday,Autumn"
"2025-09-20,2025,3,9,September,38,Saturday,Autumn"
"2025-09-21,2025,3,9,September,38,Sunday,Autumn"
"2025-09-22,2025,3,9,September,39,Monday,Autumn"
"2025-09-23,2025,3,9,September,39,Tuesday,Autumn"
"2025-09-24,2025,3,9,September,39,Wednesday,Autumn"
"2025-09-25,2025,3,9,September,39,Thursday,Autumn"
"2025-09-26,2025,3,9,September,39,Friday,Autumn"
"2025-09-27,2025,3,9,September,39,Saturday,Autumn"
"2025-09-28,2025,3,9,September,39,Sunday,Autumn"
"2025-09-29,2025,3,9,September,40,Monday,Autumn"
"2025-09-30,2025,3,9,September,40,Tuesday,Autumn"
"2025-10-01,2025,4,10,October,40,Wednesday,Autumn"
"2025-10-02,2025,4,10,October,40,Thursday,Autumn"
"2025-10-03,2025,4,10,October,40,Friday,Autumn"
"2025-10-04,2025,4,10,October,40,Saturday,Autumn"
"2025-10-05,2025,4,10,October,40,Sunday,Autumn"
"2025-10-06,2025,4,10,October,41,Monday,Autumn"
"2025-10-07,2025,4,10,October,41,Tuesday,Autumn"
"2025-10-08,2025,4,10,October,41,Wednesday,Autumn"
"2025-10-09,2025,4,10,October,41,Thursday,Autumn"
"2025-10-10,2025,4,10,October,41,Friday,Autumn"
"2025-10-11,2025,4,10,October,41,Saturday,Autumn"
"2025-10-12,2025,4,10,October,41,Sunday,Autumn"
"2025-10-13,2025,4,10,October,42,Monday,Autumn"
"2025-10-14,2025,4,10,October,42,Tuesday,Autumn"
"2025-10-15,2025,4,10,October,42,Wednesday,Autumn"
"2025-10-16,2025,4,10,October,42,Thursday,Autumn"
"2025-10-17,2025,4,10,October,42,Friday,Autumn"
"2025-10-18,2025,4,10,October,42,Saturday,Autumn"
"2025-10-19,2025,4,10,October,42,Sunday,Autumn"
"2025-10-20,2025,4,10,October,43,Monday,Autumn"
"2025-10-21,2025,4,10,October,43,Tuesday,Autumn"
"2025-10-22,2025,4,10,October,43,Wednesday,Autumn"
"2025-10-23,2025,4,10,October,43,Thursday,Autumn"
"2025-10-24,2025,4,10,October,43,Friday,Autumn"
"2025-10-25,2025,4,10,October,43,Saturday,Autumn"
"2025-10-26,2025,4,10,October,43,Sunday,Autumn"
"2025-10-27,2025,4,10,October,44,Monday,Autumn"
"2025-10-28,2025,4,10,October,44,Tuesday,Autumn"
"2025-10-29,2025,4,10,October,44,Wednesday,Autumn"
"2025-10-30,2025,4,10,October,44,Thursday,Autumn"
"2025-10-31,2025,4,10,October,44,Friday,Autumn"
"2025-11-01,2025,4,11,November,44,Saturday,Autumn"
"2025-11-02,2025,4,11,November,44,Sunday,Autumn"
"2025-11-03,2025,4,11,November,45,Monday,Autumn"
"2025-11-04,2025,4,11,November,45,Tuesday,Autumn"
"2025-11-05,2025,4,11,November,45,Wednesday,Autumn"
"2025-11-06,2025,4,11,November,45,Thursday,Autumn"
"2025-11-07,2025,4,11,November,45,Friday,Autumn"
"2025-11-08,2025,4,11,November,45,Saturday,Autumn"
"2025-11-09,2025,4,11,November,45,Sunday,Autumn"
"2025-11-10,2025,4,11,November,46,Monday,Autumn"
"2025-11-11,2025,4,11,November,46,Tuesday,Autumn"
"2025-11-12,2025,4,11,November,46,Wednesday,Autumn"
"2025-11-13,2025,4,11,November,46,Thursday,Autumn"
"2025-11-14,2025,4,11,November,46,Friday,Autumn"
"2025-11-15,2025,4,11,November,46,Saturday,Autumn"
"2025-11-16,2025,4,11,November,46,Sunday,Autumn"
"2025-11-17,2025,4,11,November,47,Monday,Autumn"
"2025-11-18,2025,4,11,November,47,Tuesday,Autumn"
"2025-11-19,2025,4,11,November,47,Wednesday,Autumn"
"2025-11-20,2025,4,11,November,47,Thursday,Autumn"
"2025-11-21,2025,4,11,November,47,Friday,Autumn"
"2025-11-22,2025,4,11,November,47,Saturday,Autumn"
"2025-11-23,2025,4,11,November,47,Sunday,Autumn"
"2025-11-24,2025,4,11,November,48,Monday,Autumn"
"2025-11-25,2025,4,11,November,48,Tuesday,Autumn"
"2025-11-26,2025,4,11,November,48,Wednesday,Autumn"
"2025-11-27,2025,4,11,November,48,Thursday,Autumn"
"2025-11-28,2025,4,11,November,48,Friday,Autumn"
"2025-11-29,2025,4,11,November,48,Saturday,Autumn"
"2025-11-30,2025,4,11,November,48,Sunday,Autumn"
"2025-12-01,2025,4,12,December,49,Monday,Winter"
"2025-12-02,2025,4,12,December,49,Tuesday,Winter"
"2025-12-03,2025,4,12,December,49,Wednesday,Winter"
"2025-12-04,2025,4,12,December,49,Thursday,Winter"
"2025-12-05,2025,4,12,December,49,Friday,Winter"
"2025-12-06,2025,4,12,December,49,Saturday,Winter"
"2025-12-07,2025,4,12,December,49,Sunday,Winter"
"2025-12-08,2025,4,12,December,50,Monday,Winter"
"2025-12-09,2025,4,12,December,50,Tuesday,Winter"
"2025-12-10,2025,4,12,December,50,Wednesday,Winter"
"2025-12-11,2025,4,12,December,50,Thursday,Winter"
"2025-12-12,2025,4,12,December,50,Friday,Winter"
"2025-12-13,2025,4,12,December,50,Saturday,Winter"
"2025-12-14,2025,4,12,December,50,Sunday,Winter"
"2025-12-15,2025,4,12,December,51,Monday,Winter"
"2025-12-16,2025,4,12,December,51,Tuesday,Winter"
"2025-12-17,2025,4,12,December,51,Wednesday,Winter"
"2025-12-18,2025,4,12,December,51,Thursday,Winter"
"2025-12-19,2025,4,12,December,51,Friday,Winter"
"2025-12-20,2025,4,12,December,51,Saturday,Winter"
"2025-12-21,2025,4,12,December,51,Sunday,Winter"
"2025-12-22,2025,4,12,December,52,Monday,Winter"
"2025-12-23,2025,4,12,December,52,Tuesday,Winter"
"2025-12-24,2025,4,12,December,52,Wednesday,Winter"
"2025-12-25,2025,4,12,December,52,Thursday,Winter"
"2025-12-26,2025,4,12,December,52,Friday,Winter"
"2025-12-27,2025,4,12,December,52,Saturday,Winter"
"2025-12-28,2025,4,12,December,52,Sunday,Winter"
"2025-12-29,2025,4,12,December,1,Monday,Winter"
"2025-12-30,2025,4,12,December,1,Tuesday,Winter"
"2025-12-31,2025,4,12,December,1,Wednesday,Winter"
